GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-5830.7168,-52846.4685,-9721.7862,237.57875351999996,-58677.185300000005,-9484.20744648,-68161.39274647999
1,-5853.9449,-53070.0863,-9618.9157,233.26170911999998,-58924.031200000005,-9385.65399088,-68309.68519088002
2,-5840.4562,-52873.8229,-9769.0829,232.00753752,-58714.2791,-9537.07536248,-68251.35446248
3,-5874.23,-52563.4956,-9877.273,235.74769632,-58437.725600000005,-9641.525303679999,-68079.25090368
4,-5803.9493,-52865.9538,-9716.234,233.71260479999998,-58669.9031,-9482.521395200001,-68152.4244952
5,-5827.7961,-52781.6569,-9709.2529,229.73540256,-58609.453,-9479.51749744,-68088.97049744
6,-5826.4693,-52580.0011,-9770.0673,235.93739472000001,-58406.4704,-9534.12990528,-67940.60030528001
7,-5883.7961,-52624.7172,-9763.8081,228.8771532,-58508.5133,-9534.930946800001,-68043.4442468
8,-5838.6916,-52555.7137,-9918.8152,234.17190936,-58394.4053,-9684.643290639999,-68079.04859064
9,-5808.9641,-52835.591,-9696.5318,233.82829368,-58644.5551,-9462.70350632,-68107.25860632
10,-5810.0651,-52777.3282,-9831.7383,235.16487216,-58587.3933,-9596.573427840001,-68183.96672784
11,-5857.4986,-52605.7408,-9832.6268,236.94069455999997,-58463.2394,-9595.68610544,-68058.92550544
12,-5879.7807,-52550.1873,-9886.168,235.48990752,-58429.968,-9650.67809248,-68080.64609248
13,-5803.078,-52527.2873,-9994.9634,239.56855991999998,-58330.365300000005,-9755.39484008,-68085.76014008002
14,-5846.8326,-52892.5708,-9752.5802,233.586396,-58739.4034,-9518.993804,-68258.39720400001
15,-5797.0428,-52929.1077,-9599.4244,231.72343991999998,-58726.1505,-9367.70096008,-68093.85146008001
16,-5804.864,-52823.098,-9617.1401,232.84059191999998,-58627.962,-9384.299508080001,-68012.26150808
17,-5852.0297,-52831.2333,-9750.0219,235.4668632,-58683.263,-9514.5550368,-68197.8180368
18,-5760.1581,-52853.0458,-9743.7192,231.58899791999997,-58613.2039,-9512.13020208,-68125.33410208
19,-5843.1494,-52759.3222,-9813.962,237.24752544,-58602.471600000004,-9576.71447456,-68179.18607456
20,-5791.8178,-52623.4511,-9801.7461,237.77271864,-58415.268899999995,-9563.97338136,-67979.24228136
21,-5840.2533,-52896.5621,-9768.2008,235.71535536,-58736.81540000001,-9532.48544464,-68269.30084464002
22,-5848.4028,-52705.5214,-9763.3061,235.04465448,-58553.924199999994,-9528.26144552,-68082.18564551999
23,-5840.2761,-52950.8593,-9690.3221,234.0816516,-58791.1354,-9456.2404484,-68247.3758484
24,-5762.9137,-52511.5071,-9908.0135,235.65460176,-58274.4208,-9672.35889824,-67946.77969823999
25,-5832.4225,-52528.0714,-9956.2523,239.60473488,-58360.4939,-9716.64756512,-68077.14146511999
26,-5847.2894,-52642.8923,-9865.825,238.76784791999998,-58490.1817,-9627.05715208,-68117.23885208
27,-5821.8582,-52330.7537,-10080.1311,238.79920031999998,-58152.6119,-9841.33189968,-67993.94379968
28,-5839.5096,-52403.875,-9881.346,237.52527768,-58243.3846,-9643.820722319999,-67887.20532231999
29,-5851.5531,-52989.2473,-9396.0712,230.67603432,-58840.8004,-9165.39516568,-68006.19556568
30,-5703.0044,-52784.6661,-9671.7281,237.55694327999998,-58487.6705,-9434.17115672,-67921.84165672
31,-5818.407,-52770.1863,-9732.7381,238.84368263999997,-58588.5933,-9493.894417360001,-68082.48771736
32,-5814.199,-53166.3025,-9293.6182,234.44670599999998,-58980.5015,-9059.171494,-68039.672994
33,-5837.459,-53004.7089,-9525.538,232.62295392000001,-58842.1679,-9292.915046080001,-68135.08294608
34,-5888.8268,-52858.2223,-9617.2382,231.2769564,-58747.049100000004,-9385.9612436,-68133.01034359999
35,-5883.8786,-52941.9651,-9561.0858,231.75171360000002,-58825.8437,-9329.3340864,-68155.1777864
36,-5722.1241,-53237.5313,-9300.5965,233.29668239999998,-58959.6554,-9067.2998176,-68026.9552176
37,-5870.8358,-52900.4477,-9488.3505,232.65275472,-58771.2835,-9255.69774528,-68026.98124528
38,-5837.2622,-53023.1302,-9558.2617,232.21416384,-58860.3924,-9326.047536159998,-68186.43993616
39,-5726.4696,-52977.5556,-9563.3788,235.81487375999998,-58704.025200000004,-9327.56392624,-68031.58912624001
40,-5915.3498,-52754.7811,-9742.4569,232.65725831999998,-58670.130900000004,-9509.79964168,-68179.93054168
41,-5840.639,-52822.1127,-9550.2728,236.01646152,-58662.7517,-9314.256338480001,-67977.00803848
42,-5809.7151,-52697.0634,-9702.7671,235.31319864,-58506.7785,-9467.453901359999,-67974.23240136
43,-5814.2631,-52875.052,-9576.7838,234.67638384,-58689.31510000001,-9342.107416159999,-68031.42251616002
44,-5805.6351,-52741.2576,-9631.1903,234.91247184,-58546.8927,-9396.27782816,-67943.17052816
45,-5782.9434,-52786.4456,-9642.215,234.79898328,-58569.388999999996,-9407.41601672,-67976.80501672
46,-5756.2593,-53202.5289,-9387.398,234.51326784,-58958.788199999995,-9152.884732159999,-68111.67293216
47,-5770.7741,-52659.5405,-9767.6239,237.46788360000002,-58430.314600000005,-9530.1560164,-67960.47061640001
48,-5765.1191,-52788.7101,-9689.7735,237.41427095999998,-58553.82919999999,-9452.35922904,-68006.18842903999
49,-5845.4681,-52643.7879,-9806.2146,230.00486687999998,-58489.256,-9576.20973312,-68065.46573312
50,-5810.585,-52880.829,-9672.5888,236.07224352,-58691.414,-9436.516556479999,-68127.93055648
51,-5835.6423,-53221.8717,-9352.0126,233.73917712,-59057.514,-9118.27342288,-68175.78742287999
52,-5818.7176,-52587.4333,-9822.911,235.60756272,-58406.15089999999,-9587.30343728,-67993.45433728
53,-5850.6707,-52787.4848,-9730.4891,238.08738672,-58638.1555,-9492.40171328,-68130.55721328
54,-5726.7042,-52626.7654,-9821.3727,237.86730719999997,-58353.4696,-9583.5053928,-67936.9749928
55,-5749.1464,-52880.5653,-9655.7674,237.66249744,-58629.7117,-9418.10490256,-68047.81660256
56,-5811.0649,-52843.5672,-9576.2466,233.73523152,-58654.632099999995,-9342.51136848,-67997.14346848
57,-5801.2259,-52882.2104,-9641.0335,239.60481911999997,-58683.4363,-9401.428680879999,-68084.86498088001
58,-5756.8711,-52809.5073,-9646.5922,237.15491903999998,-58566.3784,-9409.437280959999,-67975.81568096
59,-5791.4879,-53079.1138,-9406.9895,236.30510952,-58870.6017,-9170.684390479999,-68041.28609047999
60,-5821.0498,-52862.1525,-9647.9964,235.85203728,-58683.2023,-9412.14436272,-68095.34666272
61,-5791.8783,-52946.9605,-9483.9332,235.40899824000002,-58738.8388,-9248.52420176,-67987.36300176
62,-5806.1839,-53085.074,-9559.0612,239.80101192,-58891.2579,-9319.26018808,-68210.51808807999
63,-5792.0368,-52909.2338,-9619.274,238.32475632,-58701.2706,-9380.94924368,-68082.21984368001
64,-5868.9739,-52987.6998,-9596.1348,233.96702903999997,-58856.6737,-9362.167770959999,-68218.84147096
65,-5827.0899,-52952.8819,-9563.048,234.85706928,-58779.9718,-9328.19093072,-68108.16273072
66,-5800.3642,-52847.9515,-9598.2525,233.94400127999998,-58648.31570000001,-9364.30849872,-68012.62419872
67,-5765.4793,-52767.3811,-9703.1091,237.12695784000002,-58532.8604,-9465.982142159999,-67998.84254216
