GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-5821.2641,-52829.34,-9680.2889,237.26887775999998,-58650.6041,-9443.02002224,-68093.62412224
1,-5856.6897,-52965.7188,-9573.3431,235.69345152,-58822.408500000005,-9337.64964848,-68160.05814848
2,-5800.4365,-52792.9493,-9696.6142,233.78708736000002,-58593.385800000004,-9462.82711264,-68056.21291264
3,-5843.0103,-52815.8435,-9683.1932,233.09698464,-58658.853800000004,-9450.09621536,-68108.95001536001
4,-5759.6301,-52934.7225,-9609.8527,233.86987656,-58694.352600000006,-9375.98282344,-68070.33542344
5,-5855.7679,-53051.4228,-9494.598,232.45070976,-58907.1907,-9262.14729024,-68169.33799024
6,-5815.0998,-52903.3234,-9645.5852,233.53368768,-58718.423200000005,-9412.05151232,-68130.47471232
7,-5821.0333,-53126.5786,-9513.0652,232.25102784,-58947.6119,-9280.814172159999,-68228.42607216
8,-5830.7731,-52856.5187,-9494.1945,232.02961631999997,-58687.2918,-9262.16488368,-67949.45668368001
9,-5842.6812,-52620.1018,-9776.3617,238.76088984,-58462.782999999996,-9537.60081016,-68000.38381015998
10,-5824.4003,-52786.6534,-9705.9733,232.65795384,-58611.053700000004,-9473.31534616,-68084.36904616
11,-5778.5791,-52801.3293,-9724.6556,236.21053608000003,-58579.9084,-9488.44506392,-68068.35346392
12,-5814.4615,-52837.4111,-9739.5388,237.81812183999998,-58651.872599999995,-9501.72067816,-68153.59327816
13,-5915.3016,-52675.7817,-9703.1736,233.08233479999998,-58591.0833,-9470.0912652,-68061.1745652
14,-5829.0168,-52561.271,-10012.0679,237.03853535999997,-58390.2878,-9775.02936464,-68165.31716464
15,-5863.7405,-52873.8462,-9672.2808,228.37588128,-58737.5867,-9443.90491872,-68181.49161872
16,-5796.4837,-53012.0826,-9551.3815,233.23545288,-58808.5663,-9318.146047119999,-68126.71234711999
17,-5778.0749,-52973.0929,-9610.0943,233.75311631999998,-58751.1678,-9376.34118368,-68127.50898368
18,-5810.4666,-52728.8288,-9707.0937,230.66250624,-58539.2954,-9476.43119376,-68015.72659376
19,-5862.0552,-52686.5552,-9741.4365,233.63740368,-58548.610400000005,-9507.799096319999,-68056.40949632
20,-5766.8983,-52791.8823,-9711.5705,231.64304615999998,-58558.7806,-9479.92745384,-68038.70805384
21,-5815.2372,-52762.269,-9713.5481,228.4026156,-58577.5062,-9485.1454844,-68062.6516844
22,-5760.7812,-52458.9992,-10007.9169,236.20481783999998,-58219.780399999996,-9771.71208216,-67991.49248216
23,-5771.084,-52810.2853,-9759.1958,230.04067608,-58581.369300000006,-9529.15512392,-68110.52442392001
24,-5804.5525,-52747.2673,-9792.1939,234.73830744,-58551.8198,-9557.45559256,-68109.27539256
25,-5791.8169,-52716.7419,-9840.1655,234.47558232,-58508.5588,-9605.68991768,-68114.24871768
26,-5830.3152,-52742.5291,-9725.544,229.7864808,-58572.8443,-9495.7575192,-68068.60181919999
27,-5897.9298,-52905.8311,-9622.0032,234.21307104,-58803.7609,-9387.79012896,-68191.55102896
28,-5856.3412,-52925.299,-9699.9665,230.991156,-58781.6402,-9468.975344,-68250.615544
29,-5873.763,-52965.7096,-9709.2414,231.78371544,-58839.4726,-9477.45768456,-68316.93028456
30,-5877.9161,-52884.1427,-9739.7229,231.37461503999998,-58762.0588,-9508.34828496,-68270.40708496
31,-5870.6522,-52944.256,-9760.7784,228.25716047999998,-58814.908200000005,-9532.52123952,-68347.42943952
32,-5843.6166,-52744.6385,-9821.4367,231.89947919999997,-58588.2551,-9589.5372208,-68177.7923208
33,-5872.7049,-52567.1991,-9881.7088,232.61968871999997,-58439.903999999995,-9649.08911128,-68088.99311128
34,-5836.8391,-52703.539,-9755.339,228.63269016,-58540.378099999994,-9526.70630984,-68067.08440984
35,-5872.0895,-52740.0117,-9753.4099,227.59476048,-58612.101200000005,-9525.81513952,-68137.91633952
36,-5837.161,-52687.7258,-9776.2756,231.51293496,-58524.8868,-9544.762665040002,-68069.64946504
37,-5845.5509,-52587.3547,-9887.3703,231.78071807999999,-58432.905600000006,-9655.589581920001,-68088.49518192
38,-5831.1571,-52696.3856,-9808.8971,229.72410503999998,-58527.542700000005,-9579.17299496,-68106.71569496
39,-5857.4482,-52649.6706,-9839.7716,229.92151103999998,-58507.1188,-9609.85008896,-68116.96888896001
40,-5839.6008,-52836.6621,-9643.9037,231.25683168,-58676.2629,-9412.64686832,-68088.90976832
41,-5848.2667,-52680.1603,-9799.6904,233.80612992,-58528.427,-9565.88427008,-68094.31127008
42,-5844.4349,-52877.5481,-9696.1198,230.46216192,-58721.983,-9465.65763808,-68187.64063807999
43,-5847.8051,-52742.9516,-9751.7392,232.2303912,-58590.7567,-9519.5088088,-68110.26550879999
44,-5837.661,-52805.4667,-9708.7255,228.52667664,-58643.1277,-9480.19882336,-68123.32652336
45,-5852.0938,-52692.529,-9783.5481,230.81506631999997,-58544.622800000005,-9552.73303368,-68097.35583367999
46,-5906.0502,-52563.5917,-9929.5973,232.33414896,-58469.641899999995,-9697.263151039999,-68166.90505104
47,-5863.6604,-52761.4413,-9653.2369,231.77980584,-58625.1017,-9421.45709416,-68046.55879416001
48,-5842.3598,-52893.8936,-9565.8663,230.78336904,-58736.2534,-9335.08293096,-68071.33633096
49,-5829.9303,-52693.3411,-9811.5957,229.13541432,-58523.2714,-9582.46028568,-68105.73168568
50,-5824.7209,-52721.3726,-9687.1796,229.56301728,-58546.0935,-9457.61658272,-68003.71008272
51,-5866.2465,-52882.2149,-9646.4454,228.45472128,-58748.4614,-9417.99067872,-68166.45207872
52,-5814.5578,-52628.596,-9850.7832,229.46688216,-58443.1538,-9621.31631784,-68064.47011784
53,-5795.9831,-52418.1359,-10031.5079,234.81431208,-58214.119,-9796.693587920001,-68010.81258792001
54,-5857.8708,-52725.0687,-9715.4029,228.92769216,-58582.9395,-9486.47520784,-68069.41470784
55,-5829.2423,-52535.6293,-9711.0836,231.13097424,-58364.8716,-9479.95262576,-67844.82422575999
56,-5758.1594,-52734.4383,-9789.7484,238.40511408,-58492.5977,-9551.34328592,-68043.94098592
57,-5770.3196,-52631.9228,-9806.5014,235.182402,-58402.2424,-9571.318997999999,-67973.56139799999
58,-5819.7973,-52952.5167,-9492.0133,230.00421383999998,-58772.314,-9262.00908616,-68034.32308616
