GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4677.6098,-43481.4453,-8716.5886,219.95031096,-48159.0551,-8496.63828904,-56655.69338904
1,-4617.0113,-43521.4525,-8721.7781,220.07324448,-48138.4638,-8501.70485552,-56640.16865551999
2,-4669.3906,-43515.2572,-8774.7605,220.66857936,-48184.6478,-8554.09192064,-56738.73972064
3,-4645.985,-43599.4632,-8690.1016,221.89221864,-48245.4482,-8468.20938136,-56713.65758136
4,-4682.8368,-43621.3568,-8661.8605,221.2010676,-48304.1936,-8440.6594324,-56744.8530324
5,-4710.0432,-43656.0457,-8600.7186,219.7327392,-48366.0889,-8380.9858608,-56747.0747608
6,-4724.4635,-43471.7576,-8781.9307,220.23207792,-48196.221099999995,-8561.69862208,-56757.91972207999
7,-4693.9036,-43605.6916,-8703.2609,222.69411144,-48299.595199999996,-8480.56678856,-56780.161988559994
8,-4631.2863,-43704.642,-8675.2723,222.19122456,-48335.9283,-8453.08107544,-56789.00937543999
9,-4705.9091,-43559.2454,-8735.9857,223.64522856,-48265.1545,-8512.340471439999,-56777.49497143999
10,-4686.3843,-43750.5646,-8502.8633,218.92573368,-48436.948899999996,-8283.93756632,-56720.88646632
11,-4756.7059,-43249.4202,-8897.1256,222.98353416,-48006.1261,-8674.14206584,-56680.26816584
12,-4688.3681,-43533.9725,-8730.7634,225.59561136,-48222.3406,-8505.16778864,-56727.50838864001
13,-4660.0615,-43705.0887,-8511.7235,222.33452544,-48365.150200000004,-8289.38897456,-56654.539174560006
14,-4666.0725,-43467.7892,-8679.115,224.89403256,-48133.8617,-8454.22096744,-56588.08266744
15,-4666.4312,-43458.0576,-8730.1435,224.15270976,-48124.4888,-8505.990790240001,-56630.47959024
16,-4733.1613,-43305.6918,-8908.6375,224.85164472,-48038.8531,-8683.78585528,-56722.63895528
17,-4692.0648,-43444.7979,-8847.1141,223.02405216,-48136.8627,-8624.09004784,-56760.95274784
18,-4736.7129,-43275.0685,-8905.9725,222.64581024,-48011.7814,-8683.32668976,-56695.10808976
19,-4746.1928,-43161.298,-9087.3589,223.51447512,-47907.4908,-8863.844424879999,-56771.33522488
20,-4732.8209,-43237.786,-8838.8244,220.46043455999998,-47970.6069,-8618.36396544,-56588.970865439995
21,-4743.9295,-43386.6094,-8717.487,220.07438639999998,-48130.5389,-8497.4126136,-56627.9515136
22,-4627.1637,-43518.6912,-8747.5977,223.28274815999998,-48145.8549,-8524.31495184,-56670.16985183999
23,-4682.8199,-43099.587,-9146.3321,226.36022544,-47782.4069,-8919.97187456,-56702.37877456
24,-4663.1263,-43193.6915,-9086.7775,225.78233687999997,-47856.817800000004,-8860.99516312,-56717.81296312
25,-4689.8733,-43343.8324,-8959.9309,225.29746368,-48033.7057,-8734.633436319999,-56768.33913632
26,-4653.129,-43578.8753,-8737.4836,225.40960008000002,-48232.0043,-8512.07399992,-56744.07829992
27,-4651.4603,-43462.0334,-8815.3068,226.1782044,-48113.4937,-8589.128595600001,-56702.6222956
28,-4636.8764,-43399.2048,-8831.1834,225.34305768,-48036.0812,-8605.84034232,-56641.92154232
29,-4692.8795,-43660.3853,-8613.8635,224.1979524,-48353.264800000004,-8389.6655476,-56742.930347600006
30,-4681.8439,-43218.8966,-9008.2181,222.9424416,-47900.7405,-8785.2756584,-56686.0161584
31,-4671.9575,-43547.1954,-8660.1333,217.1490768,-48219.1529,-8442.9842232,-56662.1371232
32,-4699.3248,-43262.7855,-8823.8173,217.29917736,-47962.1103,-8606.51812264,-56568.62842264
33,-4711.8842,-42884.845,-9297.1493,221.2679664,-47596.7292,-9075.881333599998,-56672.6105336
34,-4739.5514,-43307.2493,-8951.2639,221.1193836,-48046.80070000001,-8730.1445164,-56776.9452164
35,-4699.951,-43639.8253,-8751.0812,221.39023608,-48339.7763,-8529.69096392,-56869.46726392
36,-4724.9753,-43412.3879,-8859.6054,221.7856608,-48137.3632,-8637.8197392,-56775.1829392
37,-4653.7039,-43737.8711,-8680.5523,221.23097855999998,-48391.575,-8459.32132144,-56850.89632143999
38,-4715.8569,-43573.139,-8713.2706,220.85289216,-48288.9959,-8492.417707839999,-56781.41360784
39,-4714.7569,-43268.9475,-8881.3595,217.47413088,-47983.7044,-8663.88536912,-56647.58976912
40,-4780.2978,-43487.9906,-8736.7414,211.6317636,-48268.2884,-8525.1096364,-56793.398036399994
41,-4711.785,-43578.0775,-8634.1873,217.59798456,-48289.8625,-8416.58931544,-56706.45181544
42,-4690.1693,-43567.1548,-8683.4252,219.08363039999998,-48257.3241,-8464.3415696,-56721.6656696
43,-4725.7375,-43849.5585,-8425.0279,217.0819656,-48575.296,-8207.945934399999,-56783.2419344
44,-4700.0473,-43699.256,-8709.0007,215.9448084,-48399.3033,-8493.0558916,-56892.3591916
45,-4678.601,-43344.6105,-8988.6108,222.96696192,-48023.211500000005,-8765.643838080001,-56788.85533808001
46,-4735.4526,-43148.9935,-9094.3928,218.73215448,-47884.446099999994,-8875.66064552,-56760.106745519995
47,-4640.4655,-43429.1272,-8915.2262,229.81090032,-48069.5927,-8685.415299679998,-56755.00799968
48,-4658.5706,-43458.9323,-8822.946,223.13396808,-48117.5029,-8599.81203192,-56717.31493192
49,-4723.6613,-43676.7178,-8673.9831,218.23758648,-48400.3791,-8455.74551352,-56856.12461352
50,-4716.1709,-43155.8329,-9072.3172,222.2470512,-47872.0038,-8850.0701488,-56722.073948799996
51,-4658.059,-43498.6643,-8821.2015,224.49839904,-48156.7233,-8596.70310096,-56753.426400959994
52,-4673.4351,-43625.4084,-8661.735,226.17515232,-48298.8435,-8435.55984768,-56734.40334768
53,-4698.7532,-43340.016,-8864.4933,226.3823172,-48038.7692,-8638.1109828,-56676.88018280001
54,-4712.2102,-43261.4648,-9029.0686,222.90648984,-47973.675,-8806.162110160001,-56779.83711016
55,-4731.404,-43463.8798,-8886.9156,220.79122416,-48195.283800000005,-8666.12437584,-56861.408175840006
56,-4721.2539,-43776.4226,-8498.2014,218.27649743999999,-48497.6765,-8279.92490256,-56777.60140256
57,-4677.5151,-43557.0157,-8732.4222,218.90203416,-48234.5308,-8513.52016584,-56748.050965840004
58,-4687.719,-43675.8782,-8622.5944,222.23465928000002,-48363.5972,-8400.35974072,-56763.956940719996
59,-4711.8331,-43511.3494,-8666.0316,219.05965799999998,-48223.182499999995,-8446.971942,-56670.154442
60,-4682.7528,-43932.7211,-8479.8732,217.73317391999998,-48615.473900000005,-8262.14002608,-56877.613926080005
61,-4700.1419,-43758.0953,-8578.4661,216.06697008,-48458.2372,-8362.399129919999,-56820.63632992
62,-4691.7672,-43412.1688,-8902.6723,221.94537408,-48103.936,-8680.72692592,-56784.66292592
63,-4682.2598,-43552.769,-8724.3291,218.2727664,-48235.0288,-8506.056333600001,-56741.085133600005
64,-4760.9806,-43495.7512,-8766.0845,219.12652583999997,-48256.7318,-8546.957974160001,-56803.689774160004
65,-4775.3714,-43325.1408,-8890.4252,210.91090824,-48100.5122,-8679.51429176,-56780.02649175999
66,-4705.2774,-43579.7302,-8683.7468,216.46752768,-48285.0076,-8467.27927232,-56752.28687232
67,-4688.3214,-43352.7289,-8870.7266,216.26591256,-48041.0503,-8654.46068744,-56695.51098744001
68,-4721.1043,-43615.8719,-8654.4417,215.22958487999998,-48336.9762,-8439.212115119999,-56776.18831512
69,-4695.8598,-43633.2428,-8676.4814,220.31286624,-48329.1026,-8456.168533760001,-56785.271133760005
70,-4724.3507,-43437.5543,-8782.4077,219.80389824,-48161.905000000006,-8562.60380176,-56724.50880176001
71,-4676.7265,-43477.6549,-8925.1443,221.35728168,-48154.3814,-8703.78701832,-56858.16841832
72,-4650.3239,-43349.1267,-9021.4191,222.50782944,-47999.450600000004,-8798.91127056,-56798.36187056
73,-4727.9337,-43319.2033,-8900.5726,220.18297464,-48047.137,-8680.38962536,-56727.52662536
74,-4707.2194,-43384.0497,-8862.6872,219.2517684,-48091.269100000005,-8643.4354316,-56734.70453160001
75,-4752.614,-43270.4423,-8983.5044,218.37938327999998,-48023.056300000004,-8765.12501672,-56788.18131672
76,-4764.2207,-43444.1672,-8932.4148,215.19192672,-48208.3879,-8717.222873280001,-56925.61077328
77,-4718.8341,-43640.5358,-8698.7614,219.27798864,-48359.3699,-8479.483411359999,-56838.85331135999
78,-4708.8805,-43162.1256,-9137.0226,220.41618408,-47871.0061,-8916.60641592,-56787.612515919995
79,-4666.639,-43457.2671,-8871.4248,221.28607512,-48123.9061,-8650.13872488,-56774.04482488
80,-4709.8173,-43552.5983,-8746.9514,219.14297928,-48262.4156,-8527.808420719999,-56790.22402072
81,-4727.7877,-43655.5866,-8687.338,217.75222151999998,-48383.3743,-8469.58577848,-56852.96007848
82,-4706.9405,-43162.5657,-9106.6665,220.40084304,-47869.506199999996,-8886.265656959999,-56755.77185696
83,-4683.6286,-43403.9995,-8829.6912,219.75772392,-48087.6281,-8609.93347608,-56697.56157608
84,-4744.9637,-43352.6805,-8864.1761,215.58823632,-48097.6442,-8648.58786368,-56746.23206368001
85,-4741.1122,-43573.0336,-8612.9579,214.9252992,-48314.1458,-8398.0326008,-56712.1784008
86,-4740.5957,-43336.663,-8780.0605,214.10331263999998,-48077.2587,-8565.95718736,-56643.21588736
87,-4727.0271,-43473.1293,-8682.79,217.42406208,-48200.1564,-8465.365937920002,-56665.52233792
88,-4720.018,-43426.1024,-8783.348,213.7940712,-48146.1204,-8569.5539288,-56715.6743288
89,-4745.8851,-43466.3329,-8737.4247,216.89551656,-48212.218,-8520.52918344,-56732.74718344
90,-4734.3547,-43376.7015,-8809.0282,218.05685424,-48111.056200000006,-8590.971345760001,-56702.02754576001
91,-4717.9019,-43592.6535,-8628.7893,214.30982088,-48310.5554,-8414.47947912,-56725.03487912
92,-4672.3638,-43442.915,-8767.808,220.37998392,-48115.2788,-8547.42801608,-56662.706816080005
93,-4681.1195,-43381.3858,-8847.8644,220.767822,-48062.5053,-8627.096578,-56689.601877999994
94,-4679.6878,-43733.8892,-8577.8283,219.04342992,-48413.577,-8358.784870079999,-56772.36187008
95,-4800.7967,-43527.9589,-8723.811,210.62427191999998,-48328.7556,-8513.18672808,-56841.94232808
96,-4702.0753,-43659.001,-8601.4048,215.75947464,-48361.0763,-8385.645325360001,-56746.721625360005
97,-4724.8707,-43569.182,-8667.406,215.02941552,-48294.0527,-8452.37658448,-56746.42928448
98,-4664.9409,-43530.7743,-8755.2936,221.72005944,-48195.7152,-8533.57354056,-56729.28874056
99,-4700.8203,-43429.8634,-8917.2082,217.32634872,-48130.6837,-8699.881851279999,-56830.56555128
100,-4695.029,-43477.8806,-8768.4301,217.68111936,-48172.9096,-8550.748980639999,-56723.658580639996
101,-4697.8907,-43597.1586,-8639.9274,217.76333184,-48295.0493,-8422.16406816,-56717.21336816
102,-4749.3586,-43459.8525,-8790.6745,218.81656655999998,-48209.2111,-8571.857933439998,-56781.06903344
103,-4705.4743,-43467.1337,-8802.5635,216.04142232,-48172.608,-8586.52207768,-56759.13007768
104,-4744.7441,-43249.0063,-8941.8279,215.60615352,-47993.750400000004,-8726.22174648,-56719.97214648001
105,-4726.2437,-43414.2903,-8861.3695,214.60138848,-48140.534,-8646.768111520001,-56787.30211152
106,-4738.493,-43668.3127,-8618.5176,214.79589144,-48406.805700000004,-8403.721708559999,-56810.52740856
107,-4707.0669,-43719.9963,-8638.3198,214.10991936,-48427.0632,-8424.209880639999,-56851.27308063999
108,-4750.1015,-43566.8141,-8693.4904,216.21444552,-48316.9156,-8477.275954480001,-56794.19155448
109,-4777.9028,-43358.4801,-8966.5048,216.61707744,-48136.3829,-8749.88772256,-56886.27062256
110,-4744.6466,-43506.2798,-8769.1275,215.52681528,-48250.9264,-8553.60068472,-56804.52708472
111,-4733.617,-43557.49,-8716.4433,216.4616244,-48291.106999999996,-8499.9816756,-56791.088675599996
112,-4778.6374,-43490.8764,-8750.7029,217.54627992,-48269.5138,-8533.15662008,-56802.67042008
113,-4709.5988,-43429.8407,-8790.496,217.9329912,-48139.4395,-8572.5630088,-56712.0025088
114,-4751.6855,-43673.5089,-8609.516,216.6990984,-48425.1944,-8392.8169016,-56818.011301599996
115,-4740.9669,-43664.369,-8680.0206,215.37771984,-48405.3359,-8464.64288016,-56869.978780159996
116,-4719.9725,-43714.2677,-8742.1959,216.84156048,-48434.2402,-8525.354339520001,-56959.594539519996
117,-4729.1586,-43579.1744,-8668.6499,214.28631072,-48308.333000000006,-8454.363589280001,-56762.69658928
118,-4710.0586,-43786.0427,-8585.881,213.14221415999998,-48496.101299999995,-8372.73878584,-56868.84008584
119,-4732.3227,-43277.3209,-8968.8213,219.69616680000001,-48009.643599999996,-8749.1251332,-56758.76873319999
120,-4697.5541,-43433.0043,-8822.7852,221.19497496,-48130.5584,-8601.59022504,-56732.14862504
121,-4781.0791,-43583.6439,-8731.2645,215.48080008,-48364.723000000005,-8515.783699919999,-56880.506699920006
122,-4734.3809,-43282.3426,-8943.6905,216.55755576,-48016.72350000001,-8727.13294424,-56743.85644424
123,-4725.0145,-43720.616,-8535.163,212.02397856,-48445.6305,-8323.13902144,-56768.76952144
124,-4763.0969,-43593.1487,-8646.8432,215.02658448,-48356.245599999995,-8431.81661552,-56788.062215519996
