GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4756.4417,-43179.285,-8907.3784,220.69576152,-47935.72670000001,-8686.682638479999,-56622.40933848001
1,-4690.2364,-43395.9547,-8778.777,221.07954744,-48086.191100000004,-8557.69745256,-56643.888552560005
2,-4657.217,-43301.9674,-8756.5301,222.615738,-47959.1844,-8533.914362,-56493.098762
3,-4737.9369,-42881.3785,-9161.7348,227.04181848,-47619.3154,-8934.69298152,-56554.00838152
4,-4718.7501,-43089.9601,-8957.9177,224.35112808,-47808.710199999994,-8733.56657192,-56542.27677191999
5,-4674.0838,-43215.0639,-8891.0406,224.23092336,-47889.1477,-8666.80967664,-56555.95737664
6,-4646.4231,-43473.1309,-8747.5923,226.2327156,-48119.554,-8521.359584400001,-56640.91358439999
7,-4696.6184,-43231.8296,-8860.304,224.8242624,-47928.448,-8635.4797376,-56563.927737599995
8,-4667.148,-43395.3352,-8762.0532,224.74986983999997,-48062.4832,-8537.30333016,-56599.78653016
9,-4654.4302,-43196.3761,-8985.637,230.51107224,-47850.806300000004,-8755.12592776,-56605.93222776001
10,-4596.8858,-43383.451,-8864.7896,229.05051912,-47980.336800000005,-8635.739080880001,-56616.07588088001
11,-4685.4616,-43284.9948,-8806.7601,225.47054663999998,-47970.4564,-8581.28955336,-56551.745953360005
12,-4729.005,-43479.787,-8711.7385,221.00802552,-48208.791999999994,-8490.73047448,-56699.52247447999
13,-4646.3861,-43438.8069,-8730.2113,227.0004552,-48085.193,-8503.210844800002,-56588.4038448
14,-4631.0051,-43802.9467,-8452.2441,221.37813144,-48433.9518,-8230.86596856,-56664.81776856001
15,-4652.3334,-43601.369,-8631.0184,223.30034568,-48253.7024,-8407.718054320001,-56661.42045432
16,-4707.4178,-43311.9962,-8774.8435,218.91131928000001,-48019.414000000004,-8555.932180720001,-56575.34618072001
17,-4689.9466,-43382.9981,-8855.7271,221.31976824,-48072.9447,-8634.40733176,-56707.35203176
18,-4637.2651,-43398.3364,-8711.551,222.18233039999998,-48035.6015,-8489.368669599999,-56524.9701696
19,-4685.7269,-43274.0947,-8944.5168,226.77078239999997,-47959.8216,-8717.746017599999,-56677.5676176
20,-4667.7453,-43275.5919,-8796.5543,221.65277616,-47943.3372,-8574.90152384,-56518.23872384
21,-4686.9042,-43582.112,-8693.7212,221.96386583999998,-48269.0162,-8471.75733416,-56740.77353416
22,-4667.114,-43650.9156,-8543.096,222.915852,-48318.0296,-8320.180148,-56638.209748
23,-4664.6954,-43452.8446,-8779.8265,221.34078287999998,-48117.53999999999,-8558.48571712,-56676.02571711999
24,-4691.3783,-43272.0556,-8887.2866,222.80492376,-47963.4339,-8664.481676239999,-56627.915576240004
25,-4697.6244,-43507.4657,-8758.6104,220.66892496,-48205.0901,-8537.94147504,-56743.03157504
26,-4655.3413,-43604.1557,-8665.6448,221.74095024000002,-48259.497,-8443.90384976,-56703.40084976001
27,-4686.0675,-43485.5339,-8696.2829,225.64126728,-48171.6014,-8470.64163272,-56642.24303272
28,-4669.2691,-43412.8479,-8846.0189,224.18457623999998,-48082.117,-8621.834323759998,-56703.95132376
29,-4647.595,-43649.6388,-8615.0692,223.5416472,-48297.2338,-8391.5275528,-56688.7613528
30,-4666.3781,-43307.8099,-8806.5477,221.50864008,-47974.188,-8585.03905992,-56559.227059920006
31,-4725.4241,-43661.6568,-8440.8213,220.34809656000002,-48387.0809,-8220.47320344,-56607.554103439994
32,-4686.506,-43683.3865,-8537.1922,221.95260864,-48369.8925,-8315.23959136,-56685.13209136
33,-4689.3497,-43305.7626,-8845.7518,222.33221568,-47995.1123,-8623.41958432,-56618.53188432
34,-4715.8413,-43369.2555,-8883.0459,223.11323639999998,-48085.0968,-8659.932663599999,-56745.029463599996
35,-4707.0241,-43334.2213,-8807.5187,220.46796792,-48041.2454,-8587.05073208,-56628.29613208
36,-4713.7353,-43401.9379,-8776.7763,216.26416872,-48115.6732,-8560.51213128,-56676.185331279994
37,-4719.8636,-43434.1132,-8747.2361,221.13343944,-48153.9768,-8526.10266056,-56680.07946056
38,-4705.4013,-42865.2578,-9248.7917,223.21274184,-47570.6591,-9025.57895816,-56596.23805816
39,-4707.7601,-42942.9865,-9236.0818,222.0528492,-47650.7466,-9014.0289508,-56664.7755508
40,-4712.1629,-43191.7789,-8990.7377,222.83388216,-47903.9418,-8767.90381784,-56671.84561784
41,-4710.844,-43149.2461,-8947.4791,221.2596144,-47860.090099999994,-8726.2194856,-56586.3095856
42,-4709.2361,-43180.7881,-9014.519,223.41048552,-47890.0242,-8791.10851448,-56681.13271448
43,-4667.9418,-43381.0886,-8856.5635,222.55087031999997,-48049.0304,-8634.01262968,-56683.043029680004
44,-4687.209,-43193.496,-9061.4718,228.88750968,-47880.705,-8832.58429032,-56713.289290320005
45,-4734.8007,-43021.6722,-9119.4444,222.85470744,-47756.4729,-8896.589692560001,-56653.06259256
46,-4723.4678,-42953.5851,-9141.7831,224.09931888,-47677.052899999995,-8917.68378112,-56594.73668112
47,-4663.8916,-43090.9155,-9027.0637,227.96966088,-47754.807100000005,-8799.09403912,-56553.901139120004
48,-4723.1558,-43165.854,-8959.545,223.26648984,-47889.0098,-8736.27851016,-56625.288310159995
49,-4688.627,-43306.3452,-8850.2448,222.6639888,-47994.972200000004,-8627.5808112,-56622.553011200005
50,-4677.8884,-43277.7064,-8836.285,222.01534008,-47955.594800000006,-8614.269659919999,-56569.86445992001
51,-4682.6087,-43200.2577,-8932.206,225.07963343999998,-47882.8664,-8707.12636656,-56589.99276656
52,-4694.1602,-43043.9483,-9010.1223,225.53293896,-47738.108499999995,-8784.589361040002,-56522.69786104
53,-4682.7675,-43059.7598,-9073.095,222.34332528,-47742.5273,-8850.751674719999,-56593.27897472
54,-4695.5156,-43062.8357,-8951.6425,220.98491496,-47758.3513,-8730.65758504,-56489.008885040006
55,-4664.4773,-43070.9978,-9106.2123,223.65987624,-47735.475099999996,-8882.552423759998,-56618.02752375999
56,-4721.1868,-43013.8032,-9040.4125,220.91097383999997,-47734.990000000005,-8819.50152616,-56554.49152616
57,-4692.8171,-43186.2741,-9005.3887,223.44884568,-47879.0912,-8781.939854319999,-56661.03105432
58,-4715.993,-42882.5138,-9242.6779,223.09225272,-47598.5068,-9019.58564728,-56618.09244728
59,-4710.4061,-43400.6103,-8908.8718,220.17244752,-48111.0164,-8688.69935248,-56799.71575248
60,-4665.5951,-43000.7197,-9065.4312,224.62828775999998,-47666.3148,-8840.80291224,-56507.11771224
61,-4690.5776,-43299.292,-8989.2314,223.74067608,-47989.8696,-8765.49072392,-56755.360323919995
62,-4713.7531,-43023.4171,-9088.3473,221.56704288,-47737.1702,-8866.780257119999,-56603.95045712
63,-4770.6489,-42942.7769,-9172.7357,218.55263255999998,-47713.4258,-8954.183067439999,-56667.608867439994
64,-4630.3578,-43167.5673,-9066.8559,222.95743704,-47797.9251,-8843.89846296,-56641.82356296
65,-4731.6032,-43306.9507,-8930.6225,219.25540872,-48038.5539,-8711.367091279999,-56749.92099128
66,-4775.1378,-43121.0844,-8925.8904,218.63025359999997,-47896.222200000004,-8707.2601464,-56603.48234640001
67,-4689.0511,-43043.3998,-9060.6487,218.59488287999997,-47732.450899999996,-8842.05381712,-56574.50471711999
68,-4692.1556,-43162.2233,-8945.3023,226.7996724,-47854.378899999996,-8718.502627599999,-56572.881527599995
69,-4639.9335,-43356.1803,-8821.2951,223.75462824,-47996.1138,-8597.54047176,-56593.654271759995
70,-4639.0058,-43294.1296,-8856.9157,232.37959752,-47933.1354,-8624.53610248,-56557.67150248
71,-4700.9329,-43481.6853,-8637.3453,220.39930152,-48182.6182,-8416.945998480001,-56599.564198479995
72,-4675.7083,-43393.0449,-8793.9502,222.49422648,-48068.7532,-8571.45597352,-56640.20917352
73,-4687.5534,-43141.8907,-8967.0927,224.64167976,-47829.4441,-8742.45102024,-56571.89512024
74,-4673.184,-42911.4432,-9118.5548,222.04500048,-47584.6272,-8896.50979952,-56481.13699952
75,-4684.4256,-43032.6214,-9112.983,227.58521328,-47717.047000000006,-8885.397786720001,-56602.44478672001
76,-4670.8257,-42973.6227,-9088.0211,223.8580548,-47644.4484,-8864.163045199999,-56508.6114452
77,-4715.8106,-43339.5699,-8794.4786,216.78828984,-48055.3805,-8577.69031016,-56633.07081016
78,-4667.9076,-43193.1235,-8973.9707,222.851088,-47861.0311,-8751.119612,-56612.150711999995
79,-4686.5662,-43135.8442,-9018.8493,223.89853752,-47822.4104,-8794.950762479999,-56617.36116248
80,-4752.9439,-43205.9769,-8953.4332,218.10021768,-47958.9208,-8735.33298232,-56694.25378232
81,-4684.4805,-43071.1265,-8990.5871,222.04483992,-47755.606999999996,-8768.542260080001,-56524.14926007999
82,-4667.5452,-43080.4305,-8982.1007,223.54723511999998,-47747.9757,-8758.55346488,-56506.529164880005
83,-4702.1258,-42948.5053,-9098.4451,221.74930799999998,-47650.6311,-8876.695792,-56527.326892
84,-4669.9188,-43176.1904,-8931.3432,219.5684208,-47846.1092,-8711.7747792,-56557.88397919999
85,-4713.8245,-43371.2195,-8863.7037,222.6233772,-48085.044,-8641.0803228,-56726.1243228
86,-4694.3618,-43063.3598,-9061.3177,224.23111704,-47757.7216,-8837.086582959999,-56594.80818296
87,-4691.9976,-43059.7137,-9018.6333,224.38475712,-47751.7113,-8794.24854288,-56545.95984288
88,-4653.4544,-43104.7483,-9020.4602,223.7636916,-47758.2027,-8796.6965084,-56554.899208400006
89,-4648.4691,-42769.7478,-9191.6211,228.89886768,-47418.2169,-8962.72223232,-56380.93913232
90,-4658.3861,-42754.2741,-9321.9743,226.09075464,-47412.6602,-9095.88354536,-56508.54374536
91,-4668.0625,-43148.33,-9006.383,226.69015104,-47816.3925,-8779.69284896,-56596.085348960005
92,-4676.454,-43263.8209,-8817.9964,222.54023808,-47940.2749,-8595.45616192,-56535.73106191999
93,-4653.9128,-43321.2984,-8856.2054,225.08166383999998,-47975.2112,-8631.123736160001,-56606.33493616
94,-4644.3365,-42874.1794,-9234.251,226.72280736,-47518.5159,-9007.52819264,-56526.044092640004
95,-4663.213,-42920.1052,-9184.3044,227.2071492,-47583.318199999994,-8957.097250800001,-56540.41545079999
96,-4677.6268,-42864.2933,-9128.4424,225.91784304,-47541.920099999996,-8902.52455696,-56444.44465696
97,-4687.7416,-42973.8807,-9070.8432,219.33653471999997,-47661.6223,-8851.50666528,-56513.128965280004
98,-4714.3016,-43029.426,-9036.3012,226.14448536,-47743.7276,-8810.15671464,-56553.88431464
99,-4734.0754,-43165.7044,-8840.3202,221.65465175999998,-47899.779800000004,-8618.66554824,-56518.445348240006
100,-4688.8439,-43305.1238,-8803.7338,223.99005527999998,-47993.9677,-8579.743744719999,-56573.71144472
101,-4681.3867,-43570.8096,-8556.374,218.41181351999998,-48252.1963,-8337.96218648,-56590.15848648001
102,-4659.4527,-43395.5014,-8836.3579,226.70742528,-48054.9541,-8609.650474720002,-56664.604574720004
103,-4689.2375,-43172.5531,-9008.8673,223.01277552,-47861.7906,-8785.85452448,-56647.64512448
104,-4663.8633,-43431.9758,-8781.7527,220.69238184,-48095.8391,-8561.06031816,-56656.89941815999
105,-4672.6123,-43150.6884,-9130.0932,222.27343992,-47823.3007,-8907.81976008,-56731.12046008
106,-4690.1771,-43348.3902,-8823.6325,219.67971192,-48038.5673,-8603.95278808,-56642.520088080004
107,-4641.7959,-43499.3825,-8832.6418,223.92985751999998,-48141.1784,-8608.71194248,-56749.890342479994
108,-4673.4746,-43082.9793,-9175.5203,227.21077368,-47756.4539,-8948.30952632,-56704.763426319994
109,-4699.677,-43383.9617,-8735.5153,218.94579,-48083.638699999996,-8516.56951,-56600.20821
110,-4727.5351,-43148.4045,-9008.6047,221.47254575999997,-47875.9396,-8787.13215424,-56663.071754239994
111,-4692.8136,-42924.8558,-9156.6902,219.64116815999998,-47617.6694,-8937.049031839999,-56554.718431839996
112,-4705.0383,-43263.7047,-8898.5259,221.28379704,-47968.743,-8677.242102960001,-56645.98510296
113,-4616.2414,-43098.6653,-9082.8076,225.92566367999999,-47714.9067,-8856.88193632,-56571.78863632
114,-4688.4555,-43042.4276,-9161.3255,227.60660448,-47730.88310000001,-8933.71889552,-56664.60199552
115,-4695.7728,-43076.5391,-9044.2621,223.60557672,-47772.3119,-8820.65652328,-56592.96842328
116,-4686.1603,-43274.1392,-8998.2731,221.38358112,-47960.299499999994,-8776.88951888,-56737.189018879995
117,-4649.1298,-43030.2325,-9179.5052,227.41711128,-47679.3623,-8952.08808872,-56631.45038872
118,-4674.2536,-43227.1515,-8964.1684,222.61271976,-47901.4051,-8741.55568024,-56642.960780240006
