GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4634.8381,-43411.9863,-8842.8306,224.09157023999998,-48046.8244,-8618.73902976,-56665.56342976
1,-4639.6091,-43368.4787,-8775.3204,223.82735472,-48008.0878,-8551.49304528,-56559.580845280005
2,-4660.3951,-43137.4718,-8992.0792,226.12272984,-47797.8669,-8765.95647016,-56563.823370160004
3,-4633.3734,-43099.2781,-8968.7444,224.5396428,-47732.65150000001,-8744.2047572,-56476.8562572
4,-4624.3498,-43494.7208,-8650.3526,220.65473232,-48119.07060000001,-8429.69786768,-56548.768467680005
5,-4679.0673,-43760.3043,-8514.6743,220.56294672,-48439.371600000006,-8294.111353280001,-56733.48295328001
6,-4711.182,-43549.3491,-8784.7364,224.21772216,-48260.5311,-8560.51867784,-56821.04977784
7,-4636.2519,-44038.3984,-8287.6023,217.96197984,-48674.6503,-8069.640320160001,-56744.29062016
8,-4690.997,-43647.7342,-8608.4712,215.99511912,-48338.7312,-8392.47608088,-56731.20728088
9,-4693.2286,-43468.7209,-8752.6688,221.88363192,-48161.9495,-8530.78516808,-56692.734668080004
10,-4609.1398,-43590.6534,-8784.2238,226.1382588,-48199.7932,-8558.0855412,-56757.8787412
11,-4684.0217,-43679.8926,-8599.128,220.00586976,-48363.9143,-8379.12213024,-56743.03643024
12,-4599.39,-43565.3415,-8721.1389,222.53514264,-48164.7315,-8498.60375736,-56663.33525736
13,-4658.8145,-43629.2531,-8618.6641,225.89103887999997,-48288.0676,-8392.77306112,-56680.840661120004
14,-4611.656,-43514.8428,-8794.093,225.7358904,-48126.4988,-8568.357109600001,-56694.8559096
15,-4636.5432,-43502.6675,-8741.5773,226.57026528,-48139.2107,-8515.007034720002,-56654.21773472
16,-4659.629,-43332.1481,-8962.2723,224.01504504,-47991.7771,-8738.25725496,-56730.03435496
17,-4710.6927,-43546.3991,-8724.6111,223.83440495999997,-48257.0918,-8500.77669504,-56757.868495040006
18,-4714.3828,-43260.2382,-8885.6808,221.10647328,-47974.621,-8664.57432672,-56639.19532672
19,-4709.9218,-43437.5853,-8717.1345,219.804462,-48147.5071,-8497.330038,-56644.837138
20,-4668.2607,-43508.4747,-8656.6529,219.87071279999998,-48176.7354,-8436.782187199999,-56613.517587199996
21,-4698.4881,-43310.0095,-8918.2453,222.67005264,-48008.4976,-8695.57524736,-56704.07284736
22,-4647.6134,-43328.399,-8913.2092,224.59601231999997,-47976.0124,-8688.61318768,-56664.62558768
23,-4620.8704,-43398.2391,-8852.0595,223.4678328,-48019.1095,-8628.591667199998,-56647.70116719999
24,-4678.6527,-43210.8757,-8946.6752,223.65149112,-47889.528399999996,-8723.02370888,-56612.552108879994
25,-4689.961,-43519.4116,-8737.3242,223.1956764,-48209.3726,-8514.128523599999,-56723.50112360001
26,-4709.9942,-43174.5503,-8981.1336,223.17744312,-47884.5445,-8757.95615688,-56642.50065688
27,-4707.6488,-43080.8777,-9047.6598,216.66283271999998,-47788.5265,-8830.99696728,-56619.52346728
28,-4629.9946,-43615.1518,-8703.4725,220.37767703999998,-48245.1464,-8483.09482296,-56728.24122296
29,-4681.5835,-43537.6184,-8694.5908,216.35234856,-48219.2019,-8478.23845144,-56697.44035144
30,-4629.5521,-43162.0312,-8954.3288,221.21811431999998,-47791.5833,-8733.11068568,-56524.69398568
31,-4749.6247,-43520.7952,-8639.3547,216.91632239999998,-48270.4199,-8422.4383776,-56692.858277600004
32,-4683.6956,-43479.1599,-8782.1693,220.57598448,-48162.8555,-8561.59331552,-56724.44881552
33,-4721.3666,-43140.8666,-9083.4018,220.90337496,-47862.2332,-8862.49842504,-56724.73162504
34,-4636.1442,-43310.11,-8865.0159,219.68696592,-47946.2542,-8645.32893408,-56591.58313408
35,-4673.6015,-43549.4918,-8744.3524,219.25714032,-48223.0933,-8525.09525968,-56748.18855968
36,-4742.6947,-43621.7133,-8660.4267,216.40845456,-48364.408,-8444.01824544,-56808.42624544001
37,-4648.7895,-43235.5278,-8969.0288,219.72262823999998,-47884.3173,-8749.30617176,-56633.62347176
38,-4729.7904,-43324.6217,-8844.7732,219.19825584,-48054.4121,-8625.57494416,-56679.98704416
39,-4726.6475,-43490.5161,-8701.0414,217.87323552,-48217.1636,-8483.16816448,-56700.331764480004
40,-4679.8734,-43561.8789,-8707.8922,218.41287336,-48241.75230000001,-8489.479326640001,-56731.23162664001
41,-4686.6325,-43463.547,-8775.3696,218.89315656,-48150.1795,-8556.47644344,-56706.65594344
42,-4731.8292,-43340.2394,-8811.4227,216.29852496,-48072.0686,-8595.124175039999,-56667.19277503999
43,-4716.1325,-43586.3118,-8655.5423,218.28626351999998,-48302.4443,-8437.25603648,-56739.700336480004
44,-4707.6223,-43687.0205,-8545.9296,215.01554688000002,-48394.6428,-8330.91405312,-56725.556853120004
45,-4733.9353,-43378.0344,-8738.2037,214.46994528,-48111.969699999994,-8523.73375472,-56635.703454719995
46,-4735.5253,-43385.0977,-8837.5339,215.12656583999998,-48120.623,-8622.40733416,-56743.03033416
47,-4685.8069,-43270.3066,-8943.0684,220.48573679999998,-47956.11350000001,-8722.5826632,-56678.69616320001
48,-4719.1023,-43290.9247,-8775.388,218.71355184,-48010.027,-8556.674448160002,-56566.70144816
49,-4726.9699,-43568.1511,-8615.8812,215.02592496,-48295.121,-8400.85527504,-56695.976275040004
