GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4661.7698,-43037.2625,-8976.104,224.51985792,-47699.0323,-8751.584142079999,-56450.61644208
1,-4661.691,-42803.4298,-9175.2326,224.42842511999999,-47465.1208,-8950.804174879999,-56415.92497487999
2,-4663.5748,-43026.9835,-8987.9855,227.5828344,-47690.558300000004,-8760.4026656,-56450.96096560001
3,-4619.9702,-43132.5639,-8853.796,224.46658728,-47752.534100000004,-8629.32941272,-56381.86351272
4,-4709.266,-42958.3324,-9073.3978,223.21025064,-47667.5984,-8850.18754936,-56517.785949360004
5,-4631.6912,-43005.5959,-9019.6348,227.13857928,-47637.2871,-8792.49622072,-56429.78332072
6,-4749.6005,-43024.5555,-8920.0222,223.20290304,-47774.156,-8696.819296959999,-56470.97529696
7,-4741.5188,-43096.9696,-8937.7326,220.25000952,-47838.488399999995,-8717.48259048,-56555.97099047999
8,-4683.8867,-43104.9738,-8924.1361,220.82619816,-47788.8605,-8703.309901839999,-56492.17040184
9,-4646.3786,-43113.1226,-8917.9202,227.50402032,-47759.5012,-8690.41617968,-56449.91737968
10,-4629.8676,-42895.5324,-9132.9458,225.0051192,-47525.399999999994,-8907.9406808,-56433.34068079999
11,-4683.4136,-43394.3237,-8691.007,220.46101488,-48077.7373,-8470.54598512,-56548.28328512
12,-4658.1901,-43305.4872,-8845.6049,226.24538976,-47963.6773,-8619.35951024,-56583.03681024
13,-4628.6291,-43296.9718,-8717.6277,219.62428056,-47925.6009,-8498.00341944,-56423.60431944
14,-4708.3199,-43051.9457,-8985.2677,225.87694344,-47760.2656,-8759.39075656,-56519.65635655999
15,-4676.6225,-43170.1372,-8879.1533,223.23307968,-47846.759699999995,-8655.92022032,-56502.67992031999
16,-4635.8325,-43188.9866,-8972.9161,226.05227136,-47824.81909999999,-8746.86382864,-56571.682928639995
17,-4616.3369,-43389.5144,-8909.3088,230.11314048,-48005.8513,-8679.19565952,-56685.04695952
18,-4738.0044,-43330.8663,-8783.8173,217.6393176,-48068.8707,-8566.1779824,-56635.0486824
19,-4656.3028,-43454.5308,-8722.8119,221.3975484,-48110.8336,-8501.4143516,-56612.2479516
20,-4693.2823,-43023.3461,-8934.3984,222.64145495999998,-47716.6284,-8711.75694504,-56428.38534504
21,-4623.4224,-43276.5172,-8776.0049,222.70473864,-47899.939600000005,-8553.300161359999,-56453.239761360004
22,-4658.3371,-43351.8059,-8684.7733,221.8584348,-48010.143,-8462.9148652,-56473.0578652
23,-4729.8542,-43247.0484,-8752.8271,221.68952496,-47976.9026,-8531.13757504,-56508.040175040005
24,-4687.3992,-42924.5678,-9057.1423,224.62533503999998,-47611.967,-8832.51696496,-56444.483964959996
25,-4693.4977,-43213.2506,-8760.3954,222.72166728,-47906.7483,-8537.673732719999,-56444.42203272
26,-4628.7141,-43158.2086,-8865.9404,227.28890304,-47786.922699999996,-8638.65149696,-56425.57419696
27,-4664.8088,-43291.8626,-8713.7641,225.33100056,-47956.6714,-8488.43309944,-56445.10449944
28,-4662.8937,-42892.2406,-9122.5011,227.93036904,-47555.1343,-8894.57073096,-56449.70503096
29,-4616.9923,-43076.3885,-8972.5573,228.16836647999997,-47693.3808,-8744.38893352,-56437.76973352
30,-4658.6596,-43016.811,-9069.177,223.3878264,-47675.4706,-8845.7891736,-56521.259773599995
31,-4680.6466,-43087.0126,-8939.9918,225.51824591999997,-47767.6592,-8714.47355408,-56482.13275408
32,-4690.3998,-43087.1377,-8884.6675,224.12925288,-47777.5375,-8660.53824712,-56438.075747120005
33,-4643.2575,-43230.3072,-8831.7939,223.57311983999998,-47873.5647,-8608.22078016,-56481.785480160004
34,-4657.8256,-43244.5293,-8839.3029,223.48516031999998,-47902.354900000006,-8615.81773968,-56518.17263968001
35,-4712.5195,-43149.0923,-8918.5027,225.86855328,-47861.6118,-8692.63414672,-56554.245946719995
36,-4611.6321,-43145.762,-8946.9683,224.937414,-47757.394100000005,-8722.030886,-56479.424986000005
37,-4673.3792,-43056.4572,-8957.3186,223.5853044,-47729.8364,-8733.733295600001,-56463.569695599996
38,-4602.0029,-43117.9141,-8993.8967,226.49681376,-47719.917,-8767.399886239999,-56487.31688624
39,-4690.6853,-43061.4377,-9006.5551,225.89247672,-47752.123,-8780.662623279999,-56532.78562328
40,-4721.1874,-42800.2457,-9098.5752,224.95275504,-47521.4331,-8873.62244496,-56395.05554496
41,-4628.4315,-42973.8618,-9125.8698,227.89524816,-47602.2933,-8897.97455184,-56500.26785184
42,-4643.9609,-43011.4537,-9092.9366,228.12090048,-47655.4146,-8864.81569952,-56520.23029952
43,-4617.2893,-43397.0604,-8744.0826,226.10736648,-48014.349700000006,-8517.97523352,-56532.32493352001
44,-4682.0932,-43173.4453,-8962.9189,225.3219624,-47855.5385,-8737.596937600001,-56593.1354376
45,-4635.8318,-43231.1398,-8929.4013,225.35299439999997,-47866.9716,-8704.0483056,-56571.0199056
46,-4612.4913,-43555.9165,-8637.9489,225.57578328,-48168.4078,-8412.373116719999,-56580.78091672
47,-4649.8447,-43229.7781,-8861.7478,223.71297192,-47879.622800000005,-8638.034828079999,-56517.65762808
48,-4649.2831,-43200.0597,-8917.3651,226.8700776,-47849.3428,-8690.4950224,-56539.837822400004
49,-4685.3444,-43043.0273,-8941.6171,225.3355596,-47728.3717,-8716.2815404,-56444.65324040001
50,-4596.3586,-43511.5529,-8708.7276,226.1574828,-48107.9115,-8482.5701172,-56590.4816172
51,-4666.8426,-43160.2053,-8901.7333,228.13002144,-47827.047900000005,-8673.60327856,-56500.65117856
52,-4627.1031,-43281.2281,-8935.6626,227.51225856,-47908.3312,-8708.15034144,-56616.48154144
53,-4663.0561,-42920.225,-9273.9204,226.04240231999998,-47583.2811,-9047.877997680001,-56631.15909768
54,-4690.2547,-43150.3435,-8939.4963,220.39604712,-47840.5982,-8719.10025288,-56559.69845288
55,-4681.874,-42921.9624,-9110.9633,225.07434216,-47603.8364,-8885.88895784,-56489.725357840005
56,-4651.1369,-42864.1623,-9181.7161,227.8271772,-47515.2992,-8953.888922799999,-56469.1881228
57,-4672.5785,-43060.3268,-9046.0372,222.15460608,-47732.9053,-8823.882593920001,-56556.787893919995
58,-4679.4133,-42931.8467,-9074.5577,221.30418384,-47611.26,-8853.253516159999,-56464.51351616
59,-4658.0033,-42836.642,-9107.0019,221.45720831999998,-47494.645300000004,-8885.54469168,-56380.18999168001
60,-4668.0228,-43088.0558,-9008.8703,219.55824288,-47756.0786,-8789.31205712,-56545.390657120006
61,-4677.5635,-43169.9661,-8895.3783,221.0191236,-47847.529599999994,-8674.359176400001,-56521.88877639999
62,-4633.1593,-42977.2219,-9121.9526,224.61946632,-47610.381199999996,-8897.33313368,-56507.71433367999
63,-4672.9816,-43216.0126,-8844.1092,221.7929544,-47888.9942,-8622.316245600001,-56511.3104456
64,-4658.4443,-43416.5034,-8652.0503,221.942862,-48074.947700000004,-8430.107438000001,-56505.055138
65,-4735.7906,-43463.7213,-8655.2092,219.3801084,-48199.5119,-8435.829091599999,-56635.340991599995
66,-4718.497,-43393.2566,-8704.2105,219.44997719999998,-48111.753600000004,-8484.7605228,-56596.51412280001
67,-4684.3967,-43219.981,-8924.003,223.02389664,-47904.3777,-8700.979103360001,-56605.356803359995
68,-4661.2219,-43066.9088,-9119.9332,224.8231032,-47728.130699999994,-8895.1100968,-56623.2407968
69,-4670.6298,-42960.8059,-9212.4461,223.37908271999999,-47631.4357,-8989.06701728,-56620.502717280004
70,-4712.0198,-43368.3065,-8750.7259,216.37739879999998,-48080.3263,-8534.3485012,-56614.674801199995
71,-4698.327,-43138.0627,-8984.725,221.47834104,-47836.3897,-8763.24665896,-56599.63635896
72,-4636.9867,-43174.536,-8972.1707,224.17868664,-47811.5227,-8747.99201336,-56559.514713360004
73,-4657.7181,-43165.9842,-8933.6691,223.06281263999998,-47823.7023,-8710.606287359999,-56534.30858736
74,-4611.2537,-43084.7484,-9070.0098,230.76881351999998,-47696.0021,-8839.24098648,-56535.24308648
75,-4678.0816,-43221.9764,-8901.0315,223.60323455999998,-47900.058,-8677.42826544,-56577.48626543999
76,-4637.4569,-43027.1953,-9090.4411,225.85165632,-47664.6522,-8864.58944368,-56529.24164367999
77,-4627.1481,-43183.8158,-8908.8173,225.90157319999997,-47810.963899999995,-8682.9157268,-56493.8796268
78,-4657.0854,-43184.3807,-8911.2459,223.14677112,-47841.466100000005,-8688.09912888,-56529.565228880005
79,-4659.1019,-42963.8074,-9124.6586,227.96490168,-47622.9093,-8896.693698320001,-56519.60299832
80,-4692.4218,-43098.8225,-8990.2483,222.17542056,-47791.244300000006,-8768.07287944,-56559.317179440004
81,-4676.6561,-43099.4381,-8989.2695,225.1272132,-47776.0942,-8764.1422868,-56540.2364868
82,-4677.955,-42889.2006,-9204.8137,221.70742991999998,-47567.1556,-8983.106270080001,-56550.261870079994
83,-4639.7125,-42929.9219,-9018.6154,228.08672567999997,-47569.6344,-8790.528674320001,-56360.16307432001
84,-4673.4932,-42909.5846,-9098.6827,221.11121808,-47583.0778,-8877.57148192,-56460.64928192
85,-4647.007,-42681.7761,-9387.0975,231.15514536,-47328.7831,-9155.94235464,-56484.72545464001
86,-4666.7093,-43016.0925,-9039.7241,227.70967392,-47682.8018,-8812.014426079999,-56494.81622608
87,-4634.0108,-43155.4312,-8945.2676,218.60362872,-47789.441999999995,-8726.663971279999,-56516.10597128
88,-4651.7691,-42394.175,-9513.8615,226.72743552,-47045.9441,-9287.13406448,-56333.07816448
89,-4654.5593,-42583.0867,-9405.142,229.21710983999998,-47237.646,-9175.92489016,-56413.57089016
