GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4718.6231,-43034.0771,-9105.0373,219.23270856,-47752.7002,-8885.804591439999,-56638.504791440006
1,-4740.5677,-42967.0809,-9143.3226,218.91996935999998,-47707.6486,-8924.40263064,-56632.05123064
2,-4734.2622,-42936.6515,-9211.1847,219.83945544,-47670.9137,-8991.34524456,-56662.258944559995
3,-4767.8094,-43045.6231,-8996.0856,214.70234255999998,-47813.432499999995,-8781.38325744,-56594.815757439996
4,-4668.8582,-43036.2302,-9105.8724,219.89097576,-47705.0884,-8885.98142424,-56591.06982424
5,-4710.9503,-43103.8574,-9130.9475,219.4468848,-47814.807700000005,-8911.5006152,-56726.3083152
6,-4698.7756,-43173.0882,-9014.8414,220.1037624,-47871.8638,-8794.7376376,-56666.601437599995
7,-4744.6699,-43255.8938,-8856.3265,215.6960484,-48000.5637,-8640.6304516,-56641.19415159999
8,-4727.2362,-43337.0017,-8858.2346,215.99959752,-48064.2379,-8642.23500248,-56706.47290248
9,-4700.8042,-43420.4996,-8869.4455,218.0957508,-48121.3038,-8651.3497492,-56772.653549200004
10,-4726.2057,-43500.2513,-8665.6165,213.25849344,-48226.457,-8452.35800656,-56678.81500656
11,-4731.7174,-43246.7277,-8867.2383,213.71131296,-47978.445100000004,-8653.52698704,-56631.97208704001
12,-4718.849,-43461.0788,-8731.7421,211.52198952,-48179.927800000005,-8520.220110479999,-56700.14791048001
13,-4706.8696,-43100.6888,-9013.0924,212.98660847999997,-47807.5584,-8800.10579152,-56607.66419152
14,-4717.7935,-43150.9824,-9087.1247,213.48370656,-47868.7759,-8873.64099344,-56742.41689344
15,-4696.2488,-42821.5431,-9374.4569,216.95104296,-47517.791900000004,-9157.50585704,-56675.29775704
16,-4723.5128,-42973.9054,-9170.0279,219.01029984,-47697.4182,-8951.01760016,-56648.43580016
17,-4741.435,-43390.7929,-8883.0757,213.7646412,-48132.2279,-8669.3110588,-56801.538958799996
18,-4741.7463,-43355.4249,-8829.9923,209.3062428,-48097.1712,-8620.6860572,-56717.8572572
19,-4697.0502,-43176.7485,-9011.3783,217.42337376,-47873.7987,-8793.95492624,-56667.753626239995
20,-4688.4829,-43357.5473,-8854.2967,217.67151384,-48046.0302,-8636.625186160001,-56682.65538616
21,-4623.5928,-43408.7043,-8821.5132,221.2351632,-48032.297099999996,-8600.278036799999,-56632.5751368
