GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-973.1786,-7956.0017,-2614.9588,61.61835312,-8929.1803,-2553.34044688,-11482.52074688
1,-969.1832,-8020.6016,-2566.5157,63.11491848,-8989.7848,-2503.40078152,-11493.18558152
2,-978.8637,-7778.0497,-2774.0411,62.69485896,-8756.9134,-2711.3462410399998,-11468.25964104
3,-986.3638,-7898.1483,-2639.4173,63.38999376,-8884.5121,-2576.02730624,-11460.539406240001
4,-1009.0155,-7940.977,-2609.419,60.008590080000005,-8949.9925,-2549.41040992,-11499.40290992
5,-984.8901,-7877.1098,-2623.6949,63.00562823999999,-8861.9999,-2560.68927176,-11422.689171760001
6,-966.4858,-7786.5572,-2703.0825,64.86508512,-8753.043,-2638.21741488,-11391.26041488
7,-970.172,-7962.851,-2557.6721,62.9947836,-8933.023,-2494.6773163999997,-11427.7003164
8,-977.2215,-7849.4117,-2618.7387,64.31722344,-8826.6332,-2554.42147656,-11381.05467656
9,-989.9318,-7873.0761,-2662.5141,62.96760288,-8863.0079,-2599.54649712,-11462.55439712
10,-995.4159,-8025.4185,-2560.553,62.502240959999995,-9020.8344,-2498.05075904,-11518.885159039999
11,-980.9194,-7894.2651,-2627.5375,63.814098959999995,-8875.1845,-2563.7234010399998,-11438.90790104
12,-965.4769,-7794.646,-2709.9423,62.741642399999996,-8760.1229,-2647.2006576000003,-11407.3235576
13,-980.1885,-7874.2987,-2641.9574,63.928282319999994,-8854.4872,-2578.0291176799997,-11432.51631768
14,-984.4913,-7801.3869,-2722.2217,63.27645767999999,-8785.878200000001,-2658.94524232,-11444.823442320001
15,-981.7381,-7856.1196,-2667.2772,62.28442944,-8837.8577,-2604.99277056,-11442.85047056
16,-988.2247,-7831.8454,-2634.4622,64.02702095999999,-8820.0701,-2570.43517904,-11390.50527904
17,-987.3999,-7749.3699,-2764.8248,61.83582192,-8736.7698,-2702.98897808,-11439.75877808
18,-964.4563,-7876.5268,-2620.2693,64.74546288,-8840.9831,-2555.52383712,-11396.506937119999
19,-972.9128,-7960.8682,-2572.3361,63.349597440000004,-8933.780999999999,-2508.98650256,-11442.76750256
20,-931.9673,-7954.206,-2585.0246,64.35802296,-8886.1733,-2520.66657704,-11406.839877040002
21,-940.5123,-7888.2906,-2649.482,66.69425376,-8828.8029,-2582.78774624,-11411.59064624
22,-980.7997,-7937.7257,-2582.737,63.41541264,-8918.5254,-2519.32158736,-11437.846987359999
23,-972.4531,-7882.578,-2640.6547,65.74713192,-8855.0311,-2574.90756808,-11429.93866808
24,-963.0084,-7897.4768,-2635.2413,66.21595271999999,-8860.485200000001,-2569.02534728,-11429.51054728
25,-995.1484,-7963.4036,-2633.0109,62.553512160000004,-8958.552,-2570.45738784,-11529.00938784
26,-969.9576,-7950.3789,-2577.8793,63.45718415999999,-8920.3365,-2514.42211584,-11434.75861584
27,-987.4012,-7941.5875,-2619.217,61.9603236,-8928.9887,-2557.2566764000003,-11486.2453764
28,-988.0017,-7859.9325,-2677.7222,63.567498959999995,-8847.9342,-2614.15470104,-11462.08890104
29,-974.0155,-8024.824,-2542.5009,64.17885096,-8998.8395,-2478.32204904,-11477.161549040002
30,-963.456,-7890.8428,-2621.9733,63.94531464,-8854.2988,-2558.02798536,-11412.326785360001
31,-977.9561,-8042.4966,-2510.5924,63.641975040000005,-9020.4527,-2446.95042496,-11467.40312496
32,-971.7607,-7962.1571,-2571.2353,65.98581336,-8933.917800000001,-2505.2494866399998,-11439.167286640002
33,-991.2956,-7986.0488,-2525.5505,63.63428616,-8977.3444,-2461.9162138399997,-11439.260613839999
34,-989.2763,-7929.4389,-2532.9895,62.21642976,-8918.7152,-2470.77307024,-11389.488270240001
35,-948.5846,-8053.538,-2547.2045,63.54548712,-9002.122599999999,-2483.65901288,-11485.781612879999
36,-984.2698,-8080.1764,-2482.4012,62.497223999999996,-9064.4462,-2419.9039759999996,-11484.350176
37,-977.8462,-7984.3192,-2561.4378,64.85727384,-8962.1654,-2496.5805261600003,-11458.74592616
38,-976.6639,-7984.7288,-2595.4762,63.241978319999994,-8961.3927,-2532.2342216800002,-11493.626921680001
39,-974.5755,-7885.3144,-2650.4262,63.163722959999994,-8859.8899,-2587.26247704,-11447.15237704
40,-957.3115,-7929.7635,-2667.7351,65.46753504,-8887.075,-2602.26756496,-11489.342564960001
41,-979.3,-8000.4997,-2567.2097,64.16147303999999,-8979.7997,-2503.0482269599997,-11482.84792696
42,-968.9557,-7879.3008,-2688.3934,63.80595216,-8848.2565,-2624.58744784,-11472.84394784
43,-979.5607,-7699.1196,-2781.8679,63.0368352,-8678.6803,-2718.8310648,-11397.5113648
44,-968.9485,-7690.2667,-2828.721,65.77857288,-8659.2152,-2762.94242712,-11422.15762712
45,-952.3491,-7566.4415,-2876.9712,65.87757576,-8518.7906,-2811.09362424,-11329.88422424
46,-964.1524,-7574.8279,-2900.9948,64.61812296,-8538.9803,-2836.37667704,-11375.356977039999
47,-959.0992,-7754.3691,-2778.3241,63.387624239999994,-8713.4683,-2714.9364757599997,-11428.40477576
48,-967.8844,-7734.2117,-2754.7612,64.65305592,-8702.0961,-2690.10814408,-11392.20424408
49,-968.2487,-7640.4959,-2836.8023,63.92764944,-8608.7446,-2772.8746505599997,-11381.61925056
50,-974.724,-7765.6282,-2701.7074,62.599656239999995,-8740.3522,-2639.1077437599997,-11379.459943759999
51,-998.9149,-7694.0227,-2749.3961,64.50919056,-8692.937600000001,-2684.8869094399997,-11377.82450944
52,-980.5356,-7719.5306,-2719.6701,63.61096464,-8700.0662,-2656.05913536,-11356.125335359999
53,-952.2333,-7730.9795,-2762.1185,64.21901976000001,-8683.212800000001,-2697.8994802400002,-11381.112280240002
54,-982.8882,-7831.4381,-2642.1589,64.3048596,-8814.3263,-2577.8540404,-11392.1803404
55,-959.8855,-7970.1422,-2588.3543,64.67954256,-8930.0277,-2523.67475744,-11453.702457440002
56,-960.8494,-7875.9686,-2648.1652,65.59251624,-8836.818,-2582.57268376,-11419.390683759999
57,-951.615,-7899.0125,-2610.9891,67.61928312,-8850.6275,-2543.3698168799997,-11393.99731688
58,-968.5815,-7826.9325,-2664.8635,66.42041256,-8795.514,-2598.44308744,-11393.957087439998
59,-956.7398,-7984.3984,-2558.9365,66.19512671999999,-8941.1382,-2492.7413732799996,-11433.879573279999
