GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-934.76,-7831.6898,-2512.9159,63.872035919999995,-8766.4498,-2449.04386408,-11215.49366408
1,-936.1617,-7912.6693,-2478.427,63.04749048,-8848.831,-2415.3795095200003,-11264.21050952
2,-924.0102,-7834.629,-2549.0648,64.07435592,-8758.6392,-2484.99044408,-11243.62964408
3,-924.5193,-7731.1611,-2631.6951,65.97364103999999,-8655.680400000001,-2565.72145896,-11221.401858960002
4,-922.752,-7627.2411,-2745.7311,64.08484200000001,-8549.9931,-2681.6462579999998,-11231.639358
5,-930.0862,-7840.8833,-2549.9728,65.00525255999999,-8770.969500000001,-2484.96754744,-11255.93704744
6,-934.6601,-7759.7564,-2551.2798,65.3442048,-8694.4165,-2485.9355951999996,-11180.3520952
7,-929.2597,-7849.5594,-2459.5189,63.945846,-8778.8191,-2395.573054,-11174.392154
8,-955.8047,-7743.6021,-2636.2559,64.56489192000001,-8699.4068,-2571.6910080800003,-11271.097808080001
9,-959.6153,-7757.5439,-2558.3884,64.65769272,-8717.1592,-2493.73070728,-11210.88990728
10,-936.4995,-7732.462,-2673.6747,65.79760823999999,-8668.961500000001,-2607.87709176,-11276.83859176
11,-930.6711,-7722.2113,-2607.5393,65.81803464000001,-8652.8824,-2541.72126536,-11194.60366536
12,-945.7174,-7676.7777,-2657.037,64.94031576,-8622.4951,-2592.09668424,-11214.59178424
13,-922.7832,-7843.098,-2571.3195,64.76362055999999,-8765.8812,-2506.55587944,-11272.43707944
14,-949.0879,-7755.212,-2576.1232,63.59937552,-8704.2999,-2512.52382448,-11216.82372448
15,-941.1375,-7857.7627,-2508.1264,62.62937784,-8798.9002,-2445.49702216,-11244.397222160002
16,-921.4946,-7789.2165,-2549.2016,64.46105568,-8710.7111,-2484.74054432,-11195.451644320001
17,-934.947,-7920.7294,-2453.862,64.2725244,-8855.6764,-2389.5894756000002,-11245.265875600002
18,-921.801,-7961.657,-2462.7502,64.18901664,-8883.458,-2398.56118336,-11282.01918336
19,-950.1669,-7901.3891,-2477.7576,63.03820752,-8851.556,-2414.71939248,-11266.275392480002
