Time_ns,Contacts_ECD_Lipid,Contacts_GLP1_Lipid,Contacts_LNK_Lipid
0.0,6,0,0
0.1,6,0,0
0.2,6,0,0
0.3,5,0,0
0.4,4,0,0
0.5,6,0,0
0.6,6,0,0
0.7,4,0,0
0.8,3,0,0
0.9,3,0,0
1.0,4,0,0
1.1,4,0,0
1.2,5,0,0
1.3,5,0,0
1.4,4,0,0
1.5,5,0,0
1.6,5,0,0
1.7,4,0,0
1.8,5,0,0
1.9,4,0,0
2.0,5,0,0
2.1,5,0,0
2.2,5,0,0
2.3,5,0,0
2.4,5,0,0
2.5,6,0,0
2.6,5,0,0
2.7,2,0,0
2.8,2,0,0
2.9,5,0,0
3.0,3,0,0
3.1,3,0,0
3.2,4,0,0
3.3,5,0,0
3.4,2,0,0
3.5,4,0,0
3.6,4,0,0
3.7,4,0,0
3.8,4,0,0
3.9,3,0,0
4.0,4,0,0
4.1,5,0,0
4.2,3,0,0
4.3,2,0,0
4.4,5,0,0
4.5,5,0,0
4.6,5,0,0
4.7,6,0,0
4.8,4,0,0
4.9,5,0,0
5.0,4,0,0
5.1,6,0,0
5.2,4,0,0
5.3,4,0,0
5.4,4,1,0
5.5,5,1,0
5.6,4,1,0
5.7,6,1,0
5.8,5,1,0
5.9,6,1,0
6.0,4,1,0
6.1,7,0,0
6.2,6,1,0
6.3,6,1,0
6.4,6,1,0
6.5,2,0,0
6.6,1,0,0
6.7,3,0,0
6.8,4,0,0
6.9,3,0,0
7.0,5,0,0
7.1,4,1,0
7.2,2,0,0
7.3,2,0,0
7.4,2,0,0
7.5,7,0,0
7.6,2,0,0
7.7,3,0,0
7.8,4,0,0
7.9,1,0,0
8.0,0,0,0
8.1,1,0,0
8.2,3,0,0
8.3,2,0,0
8.4,2,0,0
8.5,1,0,0
8.6,0,0,0
8.7,0,0,0
8.8,1,0,0
8.9,2,0,0
9.0,1,0,0
9.1,2,0,0
9.2,1,0,0
9.3,3,0,0
9.4,2,0,0
9.5,2,0,0
9.6,1,0,0
9.7,4,0,0
9.8,5,0,0
9.9,3,0,0
10.0,4,0,0
10.1,2,0,0
10.2,2,0,0
10.3,2,0,0
10.4,0,0,0
10.5,3,0,0
10.6,3,0,0
10.7,2,0,0
10.8,1,0,0
10.9,2,0,0
11.0,2,0,0
11.1,2,0,0
11.2,2,0,0
11.3,4,0,0
11.4,4,0,0
11.5,4,0,0
11.6,3,0,0
11.7,6,0,0
11.8,4,0,0
11.9,4,0,0
12.0,3,0,0
12.1,3,0,0
12.2,4,0,0
12.3,4,0,0
12.4,4,1,0
12.5,6,0,0
12.6,3,0,0
12.7,3,0,0
12.8,4,0,0
12.9,3,0,0
13.0,5,0,0
13.1,4,0,0
13.2,3,0,0
13.3,4,0,0
13.4,4,0,0
13.5,5,0,0
13.6,3,0,0
13.7,5,0,0
13.8,5,0,0
13.9,2,0,0
14.0,4,0,0
14.1,4,0,0
14.2,3,0,0
14.3,3,0,0
14.4,4,0,0
14.5,2,0,0
14.6,2,0,0
14.7,5,0,0
14.8,4,0,0
14.9,3,0,0
15.0,3,0,0
15.1,3,0,0
15.2,3,0,0
15.3,4,0,0
15.4,3,0,0
15.5,5,0,0
15.6,4,0,0
15.7,3,0,0
15.8,4,0,0
15.9,3,0,0
16.0,4,0,0
16.1,5,0,0
16.2,6,0,0
16.3,3,0,0
16.4,5,0,0
16.5,6,0,0
16.6,4,0,0
16.7,8,0,0
16.8,7,0,0
16.9,8,1,0
17.0,6,0,0
17.1,6,0,0
17.2,3,0,0
17.3,4,0,0
17.4,4,0,0
17.5,4,0,0
17.6,5,0,0
17.7,6,0,0
17.8,3,0,0
17.9,6,0,0
18.0,5,0,0
18.1,6,0,0
18.2,4,0,0
18.3,6,0,0
18.4,5,0,0
18.5,6,0,0
18.6,6,0,0
18.7,8,0,0
18.8,5,0,0
18.9,6,0,0
19.0,3,0,0
19.1,3,0,0
19.2,2,0,0
19.3,3,0,0
19.4,3,0,0
19.5,3,0,0
19.6,2,0,0
19.7,2,0,0
19.8,3,0,0
19.9,4,0,0
20.0,5,0,0
20.1,3,0,0
20.2,3,0,0
20.3,3,0,0
20.4,3,0,0
20.5,2,0,0
20.6,1,0,0
20.7,3,0,0
