Time_ns,PC1,PC2
0.0,198.47395,85.91889
0.1,193.77744,95.13207
0.2,205.15656,81.14176
0.3,186.76648,85.48093
0.4,191.44775,79.75162
0.5,188.8141,95.22004
0.6,194.4714,86.66375
0.7,182.34033,66.54587
0.8,188.85913,73.54444
0.9,182.84605,79.29355
1.0,184.0845,64.11704
1.1,195.87451,66.58762
1.2,205.97513,72.13378
1.3,187.13579,66.35646
1.4,182.41664,80.704384
1.5,172.74054,66.00258
1.6,171.5957,64.27563
1.7,171.01355,68.94997
1.8,166.8113,76.32243
1.9,179.3381,75.47345
2.0,194.75902,77.502235
2.1,198.38364,75.49517
2.2,201.80641,97.06113
2.3,209.58987,92.50183
2.4,190.69084,87.55741
2.5,199.9354,102.15777
2.6,205.59071,87.51323
2.7,206.65137,89.93132
2.8,212.87854,90.97512
2.9,219.07822,79.99613
3.0,228.93407,69.27431
3.1,235.0624,77.84849
3.2,229.73589,85.27797
3.3,229.7132,88.88641
3.4,230.18826,87.58128
3.5,229.76222,91.255905
3.6,229.62581,86.107056
3.7,235.09169,84.267876
3.8,230.64832,86.813705
3.9,240.19708,84.249146
4.0,239.58057,82.9506
4.1,249.04875,88.53993
4.2,237.44682,86.690506
4.3,248.1987,93.20136
4.4,244.88377,95.62427
4.5,240.07562,90.39485
4.6,250.29558,93.03126
4.7,256.92474,90.760994
4.8,242.83209,87.61584
4.9,239.52574,82.22586
5.0,244.08612,82.4343
5.1,248.74594,92.38955
5.2,256.73474,87.820656
5.3,260.67703,98.79025
5.4,250.99336,89.90166
5.5,231.67667,69.36252
5.6,226.72403,77.33148
5.7,228.8704,84.54474
5.8,220.52112,84.04911
5.9,228.92784,70.24997
6.0,219.4189,65.8699
6.1,203.48218,68.14602
6.2,216.04962,71.35934
6.3,219.4251,68.64621
6.4,211.61345,67.71699
6.5,208.76727,65.539795
6.6,199.74252,56.27482
6.7,198.41367,71.911224
6.8,198.30492,70.01143
6.9,213.56111,72.68015
7.0,206.5534,69.61458
7.1,199.25822,83.37901
7.2,196.49924,69.60655
7.3,190.90479,73.02705
7.4,195.98271,59.58136
7.5,191.49307,65.21479
7.6,207.43216,78.58792
7.7,209.66043,80.7023
7.8,217.86023,81.94307
7.9,218.66563,82.67246
8.0,215.6874,87.62956
8.1,210.26855,80.35468
8.2,197.1754,75.3715
8.3,210.1586,71.85334
8.4,203.83316,72.492615
8.5,203.87384,67.808815
8.6,208.47034,60.103672
8.7,179.9406,68.07543
8.8,187.50076,75.35343
8.9,193.90393,69.258224
9.0,196.01146,68.82477
9.1,199.15102,82.42648
9.2,197.9683,72.71472
9.3,190.7851,73.300766
9.4,182.32953,67.08882
9.5,162.49066,57.736626
9.6,177.0276,66.240814
9.7,185.17487,55.21342
9.8,171.48012,52.82337
9.9,174.07289,59.76063
10.0,179.29277,59.16216
10.1,180.90428,71.20856
10.2,163.36745,58.729095
10.3,174.88898,54.8239
10.4,174.22221,47.64249
10.5,152.54378,51.70262
10.6,154.08849,53.014694
10.7,167.38258,52.795086
10.8,166.4068,54.376835
10.9,160.19824,48.4556
11.0,156.91106,42.79744
11.1,155.46329,48.990524
11.2,158.15378,46.95692
11.3,159.68242,50.422325
11.4,188.84834,64.36361
11.5,182.25346,68.797615
11.6,184.29057,62.85436
11.7,166.04276,61.061413
11.8,175.31401,70.106026
11.9,196.2852,71.7687
12.0,183.69995,74.942894
12.1,205.84247,76.09215
12.2,196.13297,74.815994
12.3,203.2266,73.21951
12.4,199.0929,73.83894
12.5,197.47401,68.00334
12.6,196.85605,72.242516
12.7,178.90405,62.164074
12.8,177.17627,70.649185
12.9,163.77364,69.89726
13.0,153.76294,70.77561
13.1,150.7499,70.94422
13.2,139.91411,78.13327
13.3,140.1231,84.22483
13.4,150.68857,79.10652
13.5,147.29094,65.84041
13.6,153.2382,70.50147
13.7,161.86208,60.3688
13.8,162.3926,66.06339
13.9,162.80078,53.9596
14.0,148.07672,58.04463
14.1,152.10692,46.253517
14.2,142.96022,51.53252
14.3,137.53061,53.323944
14.4,128.37854,45.495525
14.5,124.82585,53.637215
14.6,130.18394,51.438534
14.7,128.7953,51.441025
14.8,123.48064,47.458534
14.9,111.81294,42.146263
15.0,118.494,49.120792
15.1,109.97484,43.534115
15.2,120.5131,42.627724
15.3,128.55614,42.968098
15.4,135.36322,47.701286
15.5,135.33623,43.68206
15.6,140.51625,47.586926
15.7,154.91714,43.30438
15.8,148.7909,48.806263
15.9,155.21132,53.15062
16.0,156.70502,46.759064
16.1,153.877,60.05735
16.2,152.76732,52.477684
16.3,145.11295,55.74531
16.4,144.09587,49.376846
16.5,152.89487,52.543137
16.6,140.2609,50.776176
16.7,140.87161,56.01609
16.8,149.20667,54.528797
16.9,143.23221,51.127346
17.0,143.44557,58.176033
17.1,156.79803,65.51801
17.2,156.98962,67.411964
17.3,161.72267,55.55981
17.4,174.4552,58.90427
17.5,168.49718,57.954014
17.6,172.74402,58.962334
17.7,180.8429,65.39122
17.8,170.48105,57.94792
17.9,170.94608,57.980713
18.0,165.91383,66.157486
18.1,165.55225,58.35496
18.2,176.90137,59.51388
18.3,182.85754,65.135796
18.4,182.04865,58.967175
18.5,169.15604,57.66298
18.6,168.03685,57.444393
18.7,169.14099,60.008556
18.8,172.83192,60.13683
18.9,168.59402,66.52757
19.0,167.3642,52.427593
