frame,time_ps,dO56_R346,dO56_R483,dO57_R346,dO57_R483,anchor_min,tail_hsa_min,cls,dO38_R408,pep_ecd_min,com_hsa_ecd,lnk_e2e,lnk_rg
0,0.000,6.653,3.075,5.487,2.773,2.773,2.773,FA3,10.620,2.678,45.878,23.660,9.022
1,100.000,8.865,3.630,10.279,5.515,3.630,3.145,FA3,9.696,2.831,46.178,22.819,8.545
2,200.000,7.442,3.114,7.266,3.330,3.114,2.776,FA3,9.540,2.742,47.455,24.583,9.219
3,300.000,7.883,3.398,8.459,3.955,3.398,3.386,FA3,12.303,2.526,46.655,23.428,9.093
4,400.000,8.177,3.409,7.637,3.497,3.409,3.270,FA3,10.443,2.910,46.821,24.846,9.363
5,500.000,7.198,3.024,7.297,3.367,3.024,3.024,FA3,10.715,2.726,46.743,23.762,9.147
6,600.000,8.416,3.581,8.191,3.574,3.574,3.235,FA3,11.901,2.793,46.298,23.344,8.975
7,700.000,8.945,3.531,9.508,4.168,3.531,3.429,FA3,12.117,2.917,46.175,22.819,8.841
8,800.000,8.655,3.574,9.164,4.045,3.574,3.301,FA3,12.647,2.498,46.412,22.659,8.847
9,900.000,9.181,4.144,8.164,3.333,3.333,3.217,FA3,13.264,2.900,45.827,22.783,8.912
10,1000.000,8.659,4.035,8.801,4.229,4.035,3.405,surface,13.115,2.584,46.391,23.037,8.974
11,1100.000,8.544,3.315,8.825,3.624,3.315,3.294,FA3,12.232,2.640,45.802,22.254,9.014
12,1200.000,9.277,4.136,8.754,4.452,4.136,3.542,surface,12.972,2.593,45.913,21.714,9.004
13,1300.000,8.511,3.718,8.984,4.574,3.718,3.528,FA3,14.153,2.524,45.380,21.869,8.818
14,1400.000,9.491,4.093,8.668,3.798,3.798,3.318,FA3,13.861,2.686,46.066,22.852,8.956
15,1500.000,8.899,3.579,9.626,4.559,3.579,3.295,FA3,13.302,2.438,45.940,22.079,8.808
16,1600.000,10.479,4.301,10.326,4.492,4.301,3.286,surface,13.400,2.691,45.976,21.715,8.818
17,1700.000,10.446,4.166,10.031,3.963,3.963,3.218,FA3,13.543,2.760,45.838,22.072,8.655
18,1800.000,9.194,3.939,9.032,4.016,3.939,3.614,FA3,13.896,2.736,46.484,22.788,8.977
19,1900.000,9.336,3.809,9.507,4.236,3.809,3.522,FA3,13.798,2.530,46.583,22.829,8.806
20,2000.000,8.488,3.562,8.111,3.507,3.507,3.461,FA3,14.773,2.648,45.750,22.332,8.495
21,2100.000,9.184,3.759,8.592,3.672,3.672,3.137,FA3,14.150,2.543,45.980,21.841,8.556
22,2200.000,8.845,3.609,8.755,3.733,3.609,3.312,FA3,14.643,2.613,46.382,23.381,8.883
23,2300.000,9.456,3.836,9.089,4.072,3.836,3.420,FA3,14.128,2.609,45.996,23.107,8.797
24,2400.000,9.444,4.420,8.532,3.844,3.844,3.214,FA3,15.228,2.503,46.049,23.154,8.765
25,2500.000,9.028,3.518,8.778,3.479,3.479,3.367,FA3,13.833,2.809,46.346,22.350,8.653
26,2600.000,9.436,3.843,8.925,3.627,3.627,3.437,FA3,15.066,2.683,45.970,20.829,8.204
27,2700.000,9.267,3.394,9.102,3.486,3.394,3.258,FA3,13.747,2.667,46.044,20.559,7.963
28,2800.000,9.117,3.939,8.589,3.709,3.709,3.314,FA3,14.459,2.787,45.992,21.685,8.334
29,2900.000,9.116,3.695,9.010,3.723,3.695,3.395,FA3,14.246,2.565,46.089,20.126,8.136
30,3000.000,9.205,4.003,9.052,3.998,3.998,3.556,FA3,15.221,2.623,46.024,19.984,8.044
31,3100.000,8.680,4.039,10.512,6.079,4.039,3.055,surface,14.432,3.004,46.604,21.879,8.355
32,3200.000,13.720,8.912,13.542,8.378,8.378,3.543,surface,13.546,2.803,46.546,22.931,8.368
33,3300.000,12.207,7.805,10.283,6.119,6.119,3.437,surface,14.192,3.185,47.074,23.505,8.443
34,3400.000,13.312,8.423,12.306,7.374,7.374,3.455,surface,13.195,2.770,46.637,20.977,8.139
35,3500.000,14.692,9.799,13.724,8.493,8.493,3.453,surface,12.886,2.964,46.567,21.960,8.389
36,3600.000,12.405,7.608,10.994,5.990,5.990,3.350,surface,13.222,3.214,47.013,20.331,7.898
37,3700.000,12.372,8.283,11.473,7.395,7.395,3.309,surface,13.631,3.092,46.677,20.837,7.944
38,3800.000,10.598,5.198,8.543,3.703,3.703,3.432,FA3,12.627,3.311,46.174,20.799,8.024
39,3900.000,12.594,7.981,10.761,6.554,6.554,3.425,surface,14.521,2.710,46.318,21.144,8.253
40,4000.000,14.144,10.239,12.183,8.158,8.158,3.204,surface,13.817,3.071,46.108,22.139,8.549
41,4100.000,14.491,10.091,13.059,8.417,8.417,3.315,surface,13.548,3.127,45.774,23.151,8.769
42,4200.000,14.131,10.250,12.188,8.198,8.198,3.541,surface,14.025,3.196,46.188,22.237,8.465
43,4300.000,16.615,12.552,14.752,10.464,10.464,3.007,surface,13.765,3.132,46.162,22.942,8.372
44,4400.000,15.356,11.277,13.548,9.258,9.258,3.514,surface,13.774,3.006,46.456,22.033,8.341
45,4500.000,15.779,11.675,14.325,10.022,10.022,3.560,surface,13.918,2.816,46.642,22.822,8.566
46,4600.000,15.831,11.704,14.166,10.394,10.394,3.601,surface,14.178,2.800,46.421,22.689,8.626
47,4700.000,15.671,11.563,13.948,9.602,9.602,3.374,surface,14.222,2.672,46.394,23.914,8.625
48,4800.000,14.525,9.747,12.410,7.627,7.627,3.652,surface,13.869,2.811,46.747,22.473,8.514
49,4900.000,15.194,11.780,14.735,10.631,10.631,3.326,surface,14.533,2.726,46.710,24.185,8.591
50,5000.000,14.378,10.040,12.502,8.248,8.248,2.915,surface,14.543,2.713,45.866,23.236,8.523
51,5100.000,15.388,10.464,13.214,8.331,8.331,3.024,surface,14.141,2.841,46.462,23.798,8.604
52,5200.000,14.522,9.898,12.510,7.811,7.811,3.431,surface,14.850,3.017,46.597,21.916,8.193
53,5300.000,14.597,11.498,13.203,9.641,9.641,3.225,surface,13.608,2.713,46.991,24.056,8.553
54,5400.000,14.024,10.660,12.099,8.456,8.456,3.038,surface,14.205,2.653,46.387,22.584,8.485
55,5500.000,14.467,10.506,12.513,8.483,8.483,3.174,surface,14.070,2.843,47.201,22.211,8.631
56,5600.000,11.962,8.095,9.806,6.253,6.253,3.213,surface,14.542,2.810,46.415,22.075,8.456
57,5700.000,12.410,7.897,11.140,7.361,7.361,3.248,surface,14.271,2.807,46.852,22.483,8.413
58,5800.000,12.270,8.393,10.554,7.236,7.236,3.265,surface,14.430,2.702,47.190,21.833,8.431
59,5900.000,12.872,9.250,10.895,7.254,7.254,2.858,surface,13.949,3.012,47.766,21.355,8.473
60,6000.000,12.003,8.555,10.055,7.220,7.220,3.383,surface,13.827,2.710,47.936,19.996,8.205
61,6100.000,14.218,9.223,12.319,7.174,7.174,3.331,surface,13.717,2.682,47.858,21.485,8.314
62,6200.000,12.588,9.334,11.244,8.577,8.577,3.047,surface,13.941,2.762,47.629,21.122,8.643
63,6300.000,11.809,9.099,12.750,9.656,9.099,3.011,surface,13.321,2.605,48.543,21.441,8.667
64,6400.000,13.098,10.069,13.870,10.548,10.069,3.226,surface,13.942,2.562,47.894,21.097,8.407
65,6500.000,13.305,9.521,14.266,10.142,9.521,3.040,surface,13.880,2.683,47.732,21.114,8.555
66,6600.000,13.294,11.010,13.133,10.228,10.228,3.394,surface,14.537,2.675,47.793,21.024,8.483
67,6700.000,13.522,10.529,12.904,9.535,9.535,3.360,surface,14.056,2.684,48.066,20.808,8.540
68,6800.000,13.590,10.350,12.348,8.888,8.888,3.139,surface,14.586,2.619,47.711,20.587,8.310
69,6900.000,12.620,10.510,12.123,9.662,9.662,3.369,surface,14.395,2.675,48.179,20.763,8.625
70,7000.000,12.489,9.338,11.443,8.297,8.297,3.194,surface,12.917,2.719,47.607,20.980,8.484
71,7100.000,13.454,10.789,12.478,9.530,9.530,3.252,surface,14.088,2.608,47.757,21.408,8.576
72,7200.000,14.717,12.591,14.951,12.407,12.407,3.245,surface,14.149,2.606,47.633,20.601,8.902
73,7300.000,17.222,14.388,16.713,14.155,14.155,3.067,surface,14.277,2.636,48.245,21.529,8.677
74,7400.000,16.469,14.368,17.673,15.627,14.368,3.296,surface,13.675,2.754,47.741,22.339,9.306
75,7500.000,19.928,17.577,20.055,17.871,17.577,3.421,surface,13.963,2.767,47.849,25.540,9.675
76,7600.000,19.767,17.239,21.380,18.616,17.239,3.069,surface,12.801,2.617,48.176,24.598,9.314
77,7700.000,18.410,15.541,20.026,17.479,15.541,2.877,surface,12.991,2.462,48.364,25.118,9.063
78,7800.000,16.615,14.818,17.901,16.146,14.818,3.035,surface,13.728,2.622,47.967,21.829,9.041
79,7900.000,15.743,13.460,17.679,15.536,13.460,3.013,surface,14.037,2.573,47.966,22.316,9.141
80,8000.000,17.277,14.402,19.390,16.569,14.402,3.412,surface,14.008,2.479,47.635,22.911,9.246
81,8100.000,20.968,18.140,20.439,18.053,18.053,3.027,surface,13.316,2.568,48.077,24.232,9.362
82,8200.000,21.428,17.869,22.363,19.253,17.869,3.207,surface,13.332,2.523,48.001,27.363,9.859
83,8300.000,19.750,17.305,20.057,17.941,17.305,3.138,surface,13.218,2.580,48.129,25.499,9.705
84,8400.000,20.524,18.610,19.822,18.017,18.017,3.792,surface,13.118,2.666,47.659,24.389,9.260
85,8500.000,19.720,17.814,21.295,19.544,17.814,3.220,surface,13.598,2.643,47.892,21.965,9.570
86,8600.000,21.818,17.841,21.131,16.762,16.762,3.562,surface,12.107,2.650,48.244,22.999,9.307
87,8700.000,21.237,17.613,20.921,16.896,16.896,3.181,surface,13.757,2.755,48.164,21.729,9.518
88,8800.000,22.238,18.948,21.495,17.984,17.984,3.201,surface,13.987,2.718,48.514,19.948,9.393
89,8900.000,21.890,19.076,21.284,18.254,18.254,3.309,surface,14.622,2.681,48.427,22.644,9.962
90,9000.000,19.720,15.806,20.565,16.494,15.806,3.371,surface,14.218,2.613,48.087,22.142,9.454
91,9100.000,20.664,17.513,20.044,16.436,16.436,3.175,surface,14.963,2.614,47.404,22.297,9.863
92,9200.000,19.927,17.222,20.470,17.213,17.213,3.229,surface,14.395,2.790,48.281,22.210,9.581
93,9300.000,21.773,18.614,22.400,18.912,18.614,3.318,surface,14.208,2.672,47.578,20.929,9.413
94,9400.000,20.473,16.850,21.195,17.249,16.850,3.341,surface,14.289,2.559,49.011,22.297,10.088
95,9500.000,22.777,19.245,24.842,21.314,19.245,2.851,surface,11.892,2.667,48.004,20.493,9.513
96,9600.000,18.954,16.544,20.213,17.508,16.544,3.118,surface,14.223,2.565,47.476,20.017,9.417
97,9700.000,25.384,23.228,25.694,23.402,23.228,7.587,transition,13.336,2.535,48.145,23.819,10.299
98,9800.000,17.333,15.334,18.320,16.670,15.334,3.052,surface,13.405,2.589,47.537,17.027,9.455
99,9900.000,18.512,16.204,19.857,17.984,16.204,3.177,surface,13.304,2.545,47.908,17.169,9.303
100,10000.000,17.419,15.491,19.184,17.452,15.491,3.196,surface,14.377,2.690,47.702,17.068,9.472
101,10100.000,17.324,15.727,19.459,17.707,15.727,3.194,surface,15.003,2.656,47.707,17.976,9.849
102,10200.000,14.065,12.942,15.759,14.341,12.942,3.608,surface,13.611,2.736,47.013,16.587,9.197
103,10300.000,14.169,12.273,15.871,13.729,12.273,3.056,surface,14.344,2.669,48.084,16.800,9.155
104,10400.000,14.162,13.181,14.150,12.655,12.655,3.085,surface,14.648,2.757,47.811,15.823,9.208
105,10500.000,15.358,14.714,16.205,14.951,14.714,3.356,surface,14.815,2.683,48.601,16.808,9.306
106,10600.000,13.551,12.664,13.540,12.110,12.110,3.164,surface,14.468,2.668,48.247,18.264,9.303
107,10700.000,15.587,14.333,16.579,14.712,14.333,3.484,surface,14.372,2.659,47.703,18.599,9.358
108,10800.000,17.270,14.663,19.380,16.766,14.663,3.187,surface,14.938,2.568,47.824,17.506,9.262
109,10900.000,20.230,17.406,22.384,19.582,17.406,2.962,surface,15.835,2.778,48.447,17.763,9.525
110,11000.000,16.943,14.928,17.168,14.704,14.704,4.302,transition,13.133,2.727,48.247,18.791,9.497
111,11100.000,17.385,15.343,19.391,17.440,15.343,3.401,surface,13.081,2.634,47.748,21.596,9.400
112,11200.000,19.554,19.338,18.002,17.698,17.698,5.956,transition,14.224,2.591,48.579,21.204,9.535
113,11300.000,14.411,13.145,13.779,12.020,12.020,2.902,surface,13.761,2.656,48.268,17.541,8.732
114,11400.000,14.428,13.600,13.941,12.640,12.640,3.238,surface,15.152,2.707,49.305,17.775,8.988
115,11500.000,17.024,15.354,18.991,17.445,15.354,3.397,surface,14.475,2.678,47.976,17.480,8.991
116,11600.000,14.552,13.079,16.280,14.688,13.079,3.453,surface,15.151,2.673,48.112,17.043,8.990
117,11700.000,16.489,14.518,18.124,16.108,14.518,3.751,surface,13.292,2.689,48.401,18.573,9.155
118,11800.000,17.270,16.010,17.238,15.520,15.520,3.296,surface,14.843,2.897,48.786,17.392,9.135
119,11900.000,16.904,15.214,16.768,14.738,14.738,3.242,surface,13.918,2.654,48.999,18.231,9.153
120,12000.000,14.250,13.157,15.249,13.705,13.157,3.622,surface,14.914,2.568,48.709,18.850,9.364
121,12100.000,13.981,12.431,14.530,12.467,12.431,3.163,surface,14.921,2.661,48.322,17.193,8.876
122,12200.000,13.661,12.704,13.851,12.395,12.395,3.545,surface,15.710,2.637,48.751,17.375,8.985
123,12300.000,13.500,12.127,14.208,13.262,12.127,3.016,surface,16.464,2.731,48.577,17.437,8.912
124,12400.000,16.641,14.581,17.614,15.876,14.581,4.125,transition,15.290,2.902,48.545,21.291,9.628
125,12500.000,21.245,20.277,21.838,20.425,20.277,8.569,transition,16.196,2.699,47.409,23.993,9.656
126,12600.000,26.439,24.492,25.571,23.416,23.416,6.501,transition,14.893,2.621,48.364,20.518,9.647
127,12700.000,26.327,24.790,25.585,24.073,24.073,9.124,transition,15.591,2.730,48.240,23.407,10.258
128,12800.000,27.266,25.370,26.992,25.187,25.187,9.135,transition,12.320,2.638,48.476,25.171,10.051
129,12900.000,25.628,23.263,26.899,24.590,23.263,6.023,transition,12.351,2.716,47.410,24.707,9.753
130,13000.000,33.199,30.623,33.904,31.183,30.623,6.134,transition,13.857,2.578,46.547,28.559,11.046
131,13100.000,26.550,24.473,26.270,24.423,24.423,7.359,transition,12.236,3.207,47.133,31.123,10.997
132,13200.000,27.790,26.296,26.620,25.009,25.009,7.573,transition,10.910,2.602,47.745,33.033,11.345
133,13300.000,25.335,23.938,23.784,22.481,22.481,6.695,transition,11.463,2.491,47.207,27.995,10.711
134,13400.000,20.821,19.894,22.872,21.863,19.894,4.747,transition,13.175,2.674,48.347,26.940,10.573
135,13500.000,20.405,19.323,18.928,17.589,17.589,3.644,surface,10.787,2.707,47.353,22.466,9.603
